video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
bench_bad_01_partial_range,0,0.0,1,верхняя фиксация,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,180.0,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.42,0.37,0.42,0.18,0,
bench_bad_01_partial_range,1,0.0417,1,верхняя фиксация,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,179.955,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41994,0.37007,0.42003,0.18016,0,
bench_bad_01_partial_range,2,0.0833,1,верхняя фиксация,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,179.82,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41974,0.37029,0.42011,0.18062,0,
bench_bad_01_partial_range,3,0.125,1,верхняя фиксация,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,179.596,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41943,0.37065,0.42025,0.18139,0,
bench_bad_01_partial_range,4,0.1667,1,верхняя фиксация,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,179.283,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41899,0.37116,0.42043,0.18246,0,
bench_bad_01_partial_range,5,0.2083,1,верхняя фиксация,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,178.881,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41843,0.3718,0.42067,0.18382,0,
bench_bad_01_partial_range,6,0.25,1,опускание,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,178.394,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41775,0.37257,0.42096,0.18547,0,
bench_bad_01_partial_range,7,0.2917,1,опускание,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,177.821,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41696,0.37347,0.4213,0.18738,0,
bench_bad_01_partial_range,8,0.3333,1,опускание,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,177.165,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41607,0.37449,0.42168,0.18955,0,
bench_bad_01_partial_range,9,0.375,1,опускание,bench,Жим,bad,плохой,42,1,0.84,143.915,128.66,176.429,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41508,0.37562,0.42211,0.19195,0,
