video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
bench_medium_02_slight_hip_movement,0,0.0,1,верхняя фиксация,bench,Жим,medium,средний,70,1,0.9,143.915,128.66,180.0,90.0,0.42,0.5824,0.65,0.5824,0.77,0.7324,0.88,0.7624,0.42,0.3724,0.42,0.1824,0,
bench_medium_02_slight_hip_movement,1,0.0417,1,верхняя фиксация,bench,Жим,medium,средний,70,1,0.9,143.905,128.637,179.917,90.013,0.42058,0.58237,0.65058,0.58231,0.77058,0.73237,0.88058,0.76237,0.42047,0.3725,0.42063,0.18265,0,
bench_medium_02_slight_hip_movement,2,0.0833,1,верхняя фиксация,bench,Жим,medium,средний,70,1,0.9,143.876,128.568,179.67,90.052,0.42114,0.58226,0.65114,0.58205,0.77114,0.73226,0.88114,0.76226,0.42067,0.3728,0.42134,0.1834,0,
bench_medium_02_slight_hip_movement,3,0.125,1,верхняя фиксация,bench,Жим,medium,средний,70,1,0.9,143.827,128.454,179.257,90.118,0.42165,0.58209,0.65165,0.58162,0.77165,0.73209,0.88165,0.76209,0.4206,0.37329,0.4221,0.18464,0,
bench_medium_02_slight_hip_movement,4,0.1667,1,верхняя фиксация,bench,Жим,medium,средний,70,1,0.9,143.76,128.296,178.678,90.208,0.42209,0.58187,0.65209,0.58103,0.77209,0.73187,0.88209,0.76187,0.42023,0.37399,0.42288,0.18638,0,
bench_medium_02_slight_hip_movement,5,0.2083,1,верхняя фиксация,bench,Жим,medium,средний,70,1,0.9,143.674,128.096,177.932,90.323,0.42243,0.58158,0.65243,0.58029,0.77243,0.73158,0.88243,0.76158,0.41954,0.37488,0.42367,0.18859,0,
bench_medium_02_slight_hip_movement,6,0.25,1,опускание,bench,Жим,medium,средний,70,1,0.9,143.572,127.854,177.02,90.463,0.42267,0.58126,0.65267,0.5794,0.77267,0.73126,0.88267,0.76126,0.41854,0.37597,0.42443,0.19128,0,
bench_medium_02_slight_hip_movement,7,0.2917,1,опускание,bench,Жим,medium,средний,70,1,0.9,143.453,127.573,175.941,90.624,0.42279,0.58089,0.65279,0.57839,0.77279,0.73089,0.88279,0.76089,0.41722,0.37726,0.42517,0.19442,0,
bench_medium_02_slight_hip_movement,8,0.3333,1,опускание,bench,Жим,medium,средний,70,1,0.9,143.319,127.256,174.695,90.808,0.42278,0.5805,0.65278,0.57726,0.77278,0.7305,0.88278,0.7605,0.41558,0.37874,0.42587,0.198,0,
bench_medium_02_slight_hip_movement,9,0.375,1,опускание,bench,Жим,medium,средний,70,1,0.9,143.171,126.905,173.282,91.011,0.42266,0.5801,0.65266,0.57604,0.77266,0.7301,0.88266,0.7601,0.41364,0.38041,0.42652,0.20201,0,
