video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
bench_good_01_full_range,0,0.0,1,верхняя фиксация,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,180.0,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.42,0.37,0.42,0.18,0,
bench_good_01_full_range,1,0.0417,1,верхняя фиксация,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,179.906,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41987,0.37015,0.42006,0.18032,0,
bench_good_01_full_range,2,0.0833,1,верхняя фиксация,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,179.625,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41947,0.37061,0.42023,0.18129,0,
bench_good_01_full_range,3,0.125,1,верхняя фиксация,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,179.155,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41881,0.37136,0.42051,0.1829,0,
bench_good_01_full_range,4,0.1667,1,верхняя фиксация,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,178.495,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41789,0.37241,0.4209,0.18513,0,
bench_good_01_full_range,5,0.2083,1,верхняя фиксация,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,177.645,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41672,0.37375,0.42141,0.18796,0,
bench_good_01_full_range,6,0.25,1,опускание,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,176.602,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41531,0.37536,0.42201,0.19139,0,
bench_good_01_full_range,7,0.2917,1,опускание,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,175.366,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41367,0.37723,0.42271,0.19537,0,
bench_good_01_full_range,8,0.3333,1,опускание,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,173.934,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41181,0.37936,0.42351,0.19989,0,
bench_good_01_full_range,9,0.375,1,опускание,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,172.306,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.40975,0.38172,0.42439,0.2049,0,
bench_good_01_full_range,10,0.4167,1,опускание,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,170.482,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.4075,0.38429,0.42536,0.21036,0,
bench_good_01_full_range,11,0.4583,1,опускание,bench,Жим,good,хороший,95,1,0.96,143.915,128.66,168.462,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.40508,0.38706,0.4264,0.21625,0,
