video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
bench_good_02_stable_pause,0,0.0,1,верхняя фиксация,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,180.0,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.42,0.37,0.42,0.18,0,
bench_good_02_stable_pause,1,0.0417,1,верхняя фиксация,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,179.912,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41987,0.37014,0.42005,0.1803,0,
bench_good_02_stable_pause,2,0.0833,1,верхняя фиксация,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,179.647,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.4195,0.37057,0.42021,0.18121,0,
bench_good_02_stable_pause,3,0.125,1,верхняя фиксация,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,179.206,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41888,0.37128,0.42048,0.18272,0,
bench_good_02_stable_pause,4,0.1667,1,верхняя фиксация,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,178.586,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41802,0.37227,0.42085,0.18482,0,
bench_good_02_stable_pause,5,0.2083,1,верхняя фиксация,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,177.789,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41692,0.37352,0.42132,0.18749,0,
bench_good_02_stable_pause,6,0.25,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,176.812,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41559,0.37504,0.42189,0.1907,0,
bench_good_02_stable_pause,7,0.2917,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,175.654,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41405,0.3768,0.42255,0.19445,0,
bench_good_02_stable_pause,8,0.3333,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,174.315,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.4123,0.3788,0.4233,0.19869,0,
bench_good_02_stable_pause,9,0.375,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,172.796,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.41036,0.38101,0.42413,0.2034,0,
bench_good_02_stable_pause,10,0.4167,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,171.095,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.40825,0.38343,0.42504,0.20854,0,
bench_good_02_stable_pause,11,0.4583,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,169.215,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.40597,0.38603,0.42601,0.21407,0,
bench_good_02_stable_pause,12,0.5,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,167.159,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.40355,0.3888,0.42705,0.21995,0,
bench_good_02_stable_pause,13,0.5417,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,164.932,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.401,0.39171,0.42814,0.22613,0,
bench_good_02_stable_pause,14,0.5833,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,162.539,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.39835,0.39474,0.42928,0.23257,0,
bench_good_02_stable_pause,15,0.625,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,159.99,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.39562,0.39787,0.43045,0.23922,0,
bench_good_02_stable_pause,16,0.6667,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,157.297,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.39281,0.40107,0.43165,0.24603,0,
bench_good_02_stable_pause,17,0.7083,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,154.476,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.38997,0.40432,0.43287,0.25294,0,
bench_good_02_stable_pause,18,0.75,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,151.544,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.3871,0.4076,0.4341,0.2599,0,
bench_good_02_stable_pause,19,0.7917,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,148.524,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.38423,0.41088,0.43533,0.26686,0,
bench_good_02_stable_pause,20,0.8333,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,145.44,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.38139,0.41413,0.43655,0.27377,0,
bench_good_02_stable_pause,21,0.875,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,142.321,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.37858,0.41733,0.43775,0.28058,0,
bench_good_02_stable_pause,22,0.9167,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,139.197,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.37585,0.42046,0.43892,0.28723,0,
bench_good_02_stable_pause,23,0.9583,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,136.101,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.3732,0.42349,0.44006,0.29367,0,
bench_good_02_stable_pause,24,1.0,1,опускание,bench,Жим,good,хороший,91,1,0.96,143.915,128.66,133.067,90.0,0.42,0.58,0.65,0.58,0.77,0.73,0.88,0.76,0.37065,0.4264,0.44115,0.29985,0,
