video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
squat_bad_01_shallow_depth,0,0.0,1,верхняя фиксация,squat,Присед,bad,плохой,45,1,0.84,168.623,165.256,91.146,0.0,0.5,0.28,0.5,0.48,0.55,0.67,0.56,0.84,0.45,0.34,0.4,0.3,0,
squat_bad_01_shallow_depth,1,0.0417,1,верхняя фиксация,squat,Присед,bad,плохой,45,1,0.84,168.601,165.176,91.155,0.034,0.5,0.28017,0.49988,0.48026,0.54999,0.67005,0.56006,0.84002,0.45,0.34015,0.4,0.30015,0,
squat_bad_01_shallow_depth,2,0.0833,1,верхняя фиксация,squat,Присед,bad,плохой,45,1,0.84,168.534,164.936,91.183,0.136,0.5,0.28067,0.49953,0.48103,0.54996,0.6702,0.56024,0.84008,0.45,0.34059,0.4,0.30059,0,
squat_bad_01_shallow_depth,3,0.125,1,верхняя фиксация,squat,Присед,bad,плохой,45,1,0.84,168.421,164.537,91.229,0.303,0.5,0.28151,0.49894,0.4823,0.54991,0.67044,0.56053,0.84018,0.45,0.34133,0.4,0.30133,0,
squat_bad_01_shallow_depth,4,0.1667,1,верхняя фиксация,squat,Присед,bad,плохой,45,1,0.84,168.261,163.981,91.293,0.535,0.5,0.28267,0.49812,0.48407,0.54984,0.67078,0.56094,0.84031,0.45,0.34235,0.4,0.30235,0,
squat_bad_01_shallow_depth,5,0.2083,1,верхняя фиксация,squat,Присед,bad,плохой,45,1,0.84,168.053,163.268,91.376,0.828,0.5,0.28414,0.49708,0.48632,0.54976,0.67122,0.56146,0.84049,0.45,0.34365,0.4,0.30365,0,
squat_bad_01_shallow_depth,6,0.25,1,опускание,squat,Присед,bad,плохой,45,1,0.84,167.793,162.404,91.475,1.179,0.5,0.28592,0.49582,0.48904,0.54965,0.67174,0.56209,0.8407,0.45,0.34523,0.4,0.30523,0,
squat_bad_01_shallow_depth,7,0.2917,1,опускание,squat,Присед,bad,плохой,45,1,0.84,167.48,161.389,91.592,1.583,0.5,0.28799,0.49436,0.49221,0.54953,0.67235,0.56282,0.84094,0.45,0.34705,0.4,0.30705,0,
squat_bad_01_shallow_depth,8,0.3333,1,опускание,squat,Присед,bad,плохой,45,1,0.84,167.11,160.229,91.724,2.035,0.5,0.29034,0.4927,0.49579,0.54939,0.67304,0.56365,0.84122,0.45,0.34912,0.4,0.30912,0,
squat_bad_01_shallow_depth,9,0.375,1,опускание,squat,Присед,bad,плохой,45,1,0.84,166.68,158.927,91.872,2.53,0.5,0.29295,0.49086,0.49977,0.54924,0.67381,0.56457,0.84152,0.45,0.35142,0.4,0.31142,0,
squat_bad_01_shallow_depth,10,0.4167,1,опускание,squat,Присед,bad,плохой,45,1,0.84,166.188,157.489,92.034,3.062,0.5,0.29579,0.48885,0.50411,0.54907,0.67464,0.56557,0.84186,0.45,0.35393,0.4,0.31393,0,
squat_bad_01_shallow_depth,11,0.4583,1,опускание,squat,Присед,bad,плохой,45,1,0.84,165.629,155.92,92.21,3.626,0.5,0.29885,0.4867,0.50878,0.54889,0.67554,0.56665,0.84222,0.45,0.35663,0.4,0.31663,0,
squat_bad_01_shallow_depth,12,0.5,1,опускание,squat,Присед,bad,плохой,45,1,0.84,165.002,154.227,92.399,4.215,0.5,0.3021,0.4844,0.51375,0.5487,0.6765,0.5678,0.8426,0.45,0.3595,0.4,0.3195,0,
squat_bad_01_shallow_depth,13,0.5417,1,опускание,squat,Присед,bad,плохой,45,1,0.84,164.304,152.416,92.598,4.824,0.5,0.30552,0.48199,0.51897,0.5485,0.67751,0.56901,0.843,0.45,0.36252,0.4,0.32252,0,
squat_bad_01_shallow_depth,14,0.5833,1,опускание,squat,Присед,bad,плохой,45,1,0.84,163.533,150.495,92.808,5.446,0.5,0.30908,0.47947,0.52441,0.54829,0.67855,0.57026,0.84342,0.45,0.36566,0.4,0.32566,0,
squat_bad_01_shallow_depth,15,0.625,1,опускание,squat,Присед,bad,плохой,45,1,0.84,162.691,148.475,93.026,6.075,0.5,0.31276,0.47688,0.53003,0.54807,0.67964,0.57156,0.84385,0.45,0.36891,0.4,0.32891,0,
squat_bad_01_shallow_depth,16,0.6667,1,опускание,squat,Присед,bad,плохой,45,1,0.84,161.777,146.366,93.252,6.707,0.5,0.31652,0.47422,0.53578,0.54785,0.68074,0.57289,0.8443,0.45,0.37223,0.4,0.33223,0,
squat_bad_01_shallow_depth,17,0.7083,1,опускание,squat,Присед,bad,плохой,45,1,0.84,160.794,144.179,93.483,7.335,0.5,0.32035,0.47152,0.54161,0.54763,0.68187,0.57424,0.84475,0.45,0.3756,0.4,0.3356,0,
squat_bad_01_shallow_depth,18,0.75,1,опускание,squat,Присед,bad,плохой,45,1,0.84,159.747,141.93,93.718,7.954,0.5,0.3242,0.4688,0.5475,0.5474,0.683,0.5756,0.8452,0.45,0.379,0.4,0.339,0,
squat_bad_01_shallow_depth,19,0.7917,1,опускание,squat,Присед,bad,плохой,45,1,0.84,158.642,139.633,93.955,8.561,0.5,0.32805,0.46608,0.55338,0.54717,0.68413,0.57696,0.84565,0.45,0.3824,0.4,0.3424,0,
squat_bad_01_shallow_depth,20,0.8333,1,опускание,squat,Присед,bad,плохой,45,1,0.84,157.488,137.305,94.192,9.15,0.5,0.33188,0.46338,0.55922,0.54695,0.68526,0.57831,0.8461,0.45,0.38577,0.4,0.34577,0,
squat_bad_01_shallow_depth,21,0.875,1,опускание,squat,Присед,bad,плохой,45,1,0.84,156.296,134.967,94.428,9.718,0.5,0.33564,0.46072,0.56497,0.54673,0.68636,0.57964,0.84655,0.45,0.38909,0.4,0.34909,0,
squat_bad_01_shallow_depth,22,0.9167,1,опускание,squat,Присед,bad,плохой,45,1,0.84,155.078,132.638,94.66,10.262,0.5,0.33932,0.45813,0.57058,0.54651,0.68745,0.58094,0.84698,0.45,0.39234,0.4,0.35234,0,
squat_bad_01_shallow_depth,23,0.9583,1,опускание,squat,Присед,bad,плохой,45,1,0.84,153.849,130.342,94.887,10.779,0.5,0.34288,0.45561,0.57602,0.5463,0.68849,0.58219,0.8474,0.45,0.39548,0.4,0.35548,0,
squat_bad_01_shallow_depth,24,1.0,1,опускание,squat,Присед,bad,плохой,45,1,0.84,152.624,128.1,95.107,11.266,0.5,0.3463,0.4532,0.58124,0.5461,0.6895,0.5834,0.8478,0.45,0.3985,0.4,0.3585,0,
squat_bad_01_shallow_depth,25,1.0417,1,опускание,squat,Присед,bad,плохой,45,1,0.84,151.421,125.936,95.318,11.72,0.5,0.34955,0.4509,0.58621,0.54591,0.69046,0.58455,0.84818,0.45,0.40137,0.4,0.36137,0,
squat_bad_01_shallow_depth,26,1.0833,1,опускание,squat,Присед,bad,плохой,45,1,0.84,150.255,123.873,95.517,12.14,0.5,0.35261,0.44875,0.59088,0.54573,0.69136,0.58563,0.84854,0.45,0.40407,0.4,0.36407,0,
squat_bad_01_shallow_depth,27,1.125,1,опускание,squat,Присед,bad,плохой,45,1,0.84,149.145,121.933,95.704,12.524,0.5,0.35545,0.44674,0.59522,0.54556,0.69219,0.58663,0.84888,0.45,0.40658,0.4,0.36658,0,
squat_bad_01_shallow_depth,28,1.1667,1,опускание,squat,Присед,bad,плохой,45,1,0.84,148.106,120.139,95.876,12.871,0.5,0.35806,0.4449,0.5992,0.54541,0.69296,0.58755,0.84918,0.45,0.40888,0.4,0.36888,0,
squat_bad_01_shallow_depth,29,1.2083,1,опускание,squat,Присед,bad,плохой,45,1,0.84,147.153,118.508,96.032,13.179,0.5,0.36041,0.44324,0.60279,0.54527,0.69365,0.58838,0.84946,0.45,0.41095,0.4,0.37095,0,
squat_bad_01_shallow_depth,30,1.25,1,опускание,squat,Присед,bad,плохой,45,1,0.84,146.299,117.059,96.171,13.448,0.5,0.36248,0.44178,0.60595,0.54515,0.69426,0.58911,0.8497,0.45,0.41277,0.4,0.37277,0,
squat_bad_01_shallow_depth,31,1.2917,1,опускание,squat,Присед,bad,плохой,45,1,0.84,145.557,115.808,96.29,13.677,0.5,0.36426,0.44052,0.60867,0.54504,0.69478,0.58974,0.84991,0.45,0.41435,0.4,0.37435,0,
squat_bad_01_shallow_depth,32,1.3333,1,опускание,squat,Присед,bad,плохой,45,1,0.84,144.937,114.766,96.39,13.865,0.5,0.36573,0.43948,0.61092,0.54496,0.69522,0.59026,0.85009,0.45,0.41565,0.4,0.37565,0,
squat_bad_01_shallow_depth,33,1.375,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,144.446,113.946,96.468,14.012,0.5,0.36689,0.43866,0.61269,0.54489,0.69556,0.59067,0.85022,0.45,0.41667,0.4,0.37667,0,недостаточная глубина
squat_bad_01_shallow_depth,34,1.4167,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,144.09,113.354,96.525,14.116,0.5,0.36773,0.43807,0.61397,0.54484,0.6958,0.59096,0.85032,0.45,0.41741,0.4,0.37741,0,недостаточная глубина
squat_bad_01_shallow_depth,35,1.4583,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,143.876,112.996,96.559,14.18,0.5,0.36823,0.43772,0.61474,0.54481,0.69595,0.59114,0.85038,0.45,0.41785,0.4,0.37785,0,недостаточная глубина
squat_bad_01_shallow_depth,36,1.5,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,143.804,112.877,96.57,14.201,0.5,0.3684,0.4376,0.61499,0.5448,0.696,0.5912,0.8504,0.45,0.418,0.4,0.378,0,недостаточная глубина
squat_bad_01_shallow_depth,37,1.5417,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,143.876,112.996,96.559,14.18,0.5,0.36823,0.43772,0.61474,0.54481,0.69595,0.59114,0.85038,0.45,0.41785,0.4,0.37785,0,недостаточная глубина
squat_bad_01_shallow_depth,38,1.5833,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,144.09,113.354,96.525,14.116,0.5,0.36773,0.43807,0.61397,0.54484,0.6958,0.59096,0.85032,0.45,0.41741,0.4,0.37741,0,недостаточная глубина
squat_bad_01_shallow_depth,39,1.625,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,144.446,113.946,96.468,14.012,0.5,0.36689,0.43866,0.61269,0.54489,0.69556,0.59067,0.85022,0.45,0.41667,0.4,0.37667,0,недостаточная глубина
squat_bad_01_shallow_depth,40,1.6667,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,144.937,114.766,96.39,13.865,0.5,0.36573,0.43948,0.61092,0.54496,0.69522,0.59026,0.85009,0.45,0.41565,0.4,0.37565,0,недостаточная глубина
squat_bad_01_shallow_depth,41,1.7083,1,нижняя точка,squat,Присед,bad,плохой,45,1,0.84,145.557,115.808,96.29,13.677,0.5,0.36426,0.44052,0.60867,0.54504,0.69478,0.58974,0.84991,0.45,0.41435,0.4,0.37435,0,недостаточная глубина
squat_bad_01_shallow_depth,42,1.75,1,подъем,squat,Присед,bad,плохой,45,1,0.84,146.299,117.059,96.171,13.448,0.5,0.36248,0.44178,0.60595,0.54515,0.69426,0.58911,0.8497,0.45,0.41277,0.4,0.37277,0,
squat_bad_01_shallow_depth,43,1.7917,1,подъем,squat,Присед,bad,плохой,45,1,0.84,147.153,118.508,96.032,13.179,0.5,0.36041,0.44324,0.60279,0.54527,0.69365,0.58838,0.84946,0.45,0.41095,0.4,0.37095,0,
squat_bad_01_shallow_depth,44,1.8333,1,подъем,squat,Присед,bad,плохой,45,1,0.84,148.106,120.139,95.876,12.871,0.5,0.35806,0.4449,0.5992,0.54541,0.69296,0.58755,0.84918,0.45,0.40888,0.4,0.36888,0,
squat_bad_01_shallow_depth,45,1.875,1,подъем,squat,Присед,bad,плохой,45,1,0.84,149.145,121.933,95.704,12.524,0.5,0.35545,0.44674,0.59522,0.54556,0.69219,0.58663,0.84888,0.45,0.40658,0.4,0.36658,0,
squat_bad_01_shallow_depth,46,1.9167,1,подъем,squat,Присед,bad,плохой,45,1,0.84,150.255,123.873,95.517,12.14,0.5,0.35261,0.44875,0.59088,0.54573,0.69136,0.58563,0.84854,0.45,0.40407,0.4,0.36407,0,
squat_bad_01_shallow_depth,47,1.9583,1,подъем,squat,Присед,bad,плохой,45,1,0.84,151.421,125.936,95.318,11.72,0.5,0.34955,0.4509,0.58621,0.54591,0.69046,0.58455,0.84818,0.45,0.40137,0.4,0.36137,0,
squat_bad_01_shallow_depth,48,2.0,1,подъем,squat,Присед,bad,плохой,45,1,0.84,152.624,128.1,95.107,11.266,0.5,0.3463,0.4532,0.58124,0.5461,0.6895,0.5834,0.8478,0.45,0.3985,0.4,0.3585,0,
squat_bad_01_shallow_depth,49,2.0417,1,подъем,squat,Присед,bad,плохой,45,1,0.84,153.849,130.342,94.887,10.779,0.5,0.34288,0.45561,0.57602,0.5463,0.68849,0.58219,0.8474,0.45,0.39548,0.4,0.35548,0,
squat_bad_01_shallow_depth,50,2.0833,1,подъем,squat,Присед,bad,плохой,45,1,0.84,155.078,132.638,94.66,10.262,0.5,0.33932,0.45813,0.57058,0.54651,0.68745,0.58094,0.84698,0.45,0.39234,0.4,0.35234,0,
squat_bad_01_shallow_depth,51,2.125,1,подъем,squat,Присед,bad,плохой,45,1,0.84,156.296,134.967,94.428,9.718,0.5,0.33564,0.46072,0.56497,0.54673,0.68636,0.57964,0.84655,0.45,0.38909,0.4,0.34909,0,
squat_bad_01_shallow_depth,52,2.1667,1,подъем,squat,Присед,bad,плохой,45,1,0.84,157.488,137.305,94.192,9.15,0.5,0.33188,0.46338,0.55922,0.54695,0.68526,0.57831,0.8461,0.45,0.38577,0.4,0.34577,0,
squat_bad_01_shallow_depth,53,2.2083,1,подъем,squat,Присед,bad,плохой,45,1,0.84,158.642,139.633,93.955,8.561,0.5,0.32805,0.46608,0.55338,0.54717,0.68413,0.57696,0.84565,0.45,0.3824,0.4,0.3424,0,
squat_bad_01_shallow_depth,54,2.25,1,подъем,squat,Присед,bad,плохой,45,1,0.84,159.747,141.93,93.718,7.954,0.5,0.3242,0.4688,0.5475,0.5474,0.683,0.5756,0.8452,0.45,0.379,0.4,0.339,0,
squat_bad_01_shallow_depth,55,2.2917,1,подъем,squat,Присед,bad,плохой,45,1,0.84,160.794,144.179,93.483,7.335,0.5,0.32035,0.47152,0.54161,0.54763,0.68187,0.57424,0.84475,0.45,0.3756,0.4,0.3356,0,
squat_bad_01_shallow_depth,56,2.3333,1,подъем,squat,Присед,bad,плохой,45,1,0.84,161.777,146.366,93.252,6.707,0.5,0.31652,0.47422,0.53578,0.54785,0.68074,0.57289,0.8443,0.45,0.37223,0.4,0.33223,0,
squat_bad_01_shallow_depth,57,2.375,1,подъем,squat,Присед,bad,плохой,45,1,0.84,162.691,148.475,93.026,6.075,0.5,0.31276,0.47688,0.53003,0.54807,0.67964,0.57156,0.84385,0.45,0.36891,0.4,0.32891,0,
squat_bad_01_shallow_depth,58,2.4167,1,подъем,squat,Присед,bad,плохой,45,1,0.84,163.533,150.495,92.808,5.446,0.5,0.30908,0.47947,0.52441,0.54829,0.67855,0.57026,0.84342,0.45,0.36566,0.4,0.32566,0,
squat_bad_01_shallow_depth,59,2.4583,1,подъем,squat,Присед,bad,плохой,45,1,0.84,164.304,152.416,92.598,4.824,0.5,0.30552,0.48199,0.51897,0.5485,0.67751,0.56901,0.843,0.45,0.36252,0.4,0.32252,0,
squat_bad_01_shallow_depth,60,2.5,1,подъем,squat,Присед,bad,плохой,45,1,0.84,165.002,154.227,92.399,4.215,0.5,0.3021,0.4844,0.51375,0.5487,0.6765,0.5678,0.8426,0.45,0.3595,0.4,0.3195,0,
