video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
squat_medium_01_borderline_depth,0,0.0,1,верхняя фиксация,squat,Присед,medium,средний,74,1,0.9,168.623,165.256,91.146,0.0,0.5,0.2824,0.5,0.4824,0.55,0.6724,0.56,0.8424,0.45,0.3424,0.4,0.3024,0,
squat_medium_01_borderline_depth,1,0.0417,1,верхняя фиксация,squat,Присед,medium,средний,74,1,0.9,168.591,165.14,91.159,0.05,0.50058,0.28261,0.50041,0.48273,0.55057,0.67244,0.56067,0.84239,0.45058,0.34258,0.40058,0.30258,0,
squat_medium_01_borderline_depth,2,0.0833,1,верхняя фиксация,squat,Присед,medium,средний,74,1,0.9,168.494,164.79,91.2,0.198,0.50114,0.28324,0.50045,0.48373,0.55108,0.67255,0.56149,0.84238,0.45114,0.34313,0.40114,0.30313,0,
squat_medium_01_borderline_depth,3,0.125,1,верхняя фиксация,squat,Присед,medium,средний,74,1,0.9,168.33,164.208,91.268,0.443,0.50165,0.2843,0.5001,0.48539,0.55152,0.67274,0.56243,0.84235,0.45165,0.34404,0.40165,0.30404,0,
squat_medium_01_borderline_depth,4,0.1667,1,верхняя фиксация,squat,Присед,medium,средний,74,1,0.9,168.097,163.396,91.362,0.78,0.50209,0.28576,0.49933,0.48771,0.55186,0.67301,0.56346,0.84232,0.45209,0.3453,0.40209,0.3053,0,
squat_medium_01_borderline_depth,5,0.2083,1,верхняя фиксация,squat,Присед,medium,средний,74,1,0.9,167.788,162.353,91.483,1.206,0.50243,0.28764,0.49816,0.49066,0.55207,0.67336,0.56456,0.8423,0.45243,0.34692,0.40243,0.30692,0,
squat_medium_01_borderline_depth,6,0.25,1,опускание,squat,Присед,medium,средний,74,1,0.9,167.399,161.084,91.629,1.713,0.50267,0.28991,0.49656,0.49423,0.55216,0.6738,0.56572,0.84227,0.45267,0.34889,0.40267,0.30889,0,
squat_medium_01_borderline_depth,7,0.2917,1,опускание,squat,Присед,medium,средний,74,1,0.9,166.923,159.589,91.8,2.294,0.50279,0.29257,0.49454,0.4984,0.5521,0.67433,0.56691,0.84227,0.45279,0.3512,0.40279,0.3112,0,
squat_medium_01_borderline_depth,8,0.3333,1,опускание,squat,Присед,medium,средний,74,1,0.9,166.351,157.871,91.996,2.943,0.50278,0.29562,0.49211,0.50315,0.55189,0.67495,0.56812,0.84228,0.45278,0.35384,0.40278,0.31384,0,
squat_medium_01_borderline_depth,9,0.375,1,опускание,squat,Присед,medium,средний,74,1,0.9,165.675,155.933,92.214,3.649,0.50266,0.29902,0.4893,0.50846,0.55155,0.67566,0.56934,0.84232,0.45266,0.35679,0.40266,0.31679,0,
squat_medium_01_borderline_depth,10,0.4167,1,опускание,squat,Присед,medium,средний,74,1,0.9,164.886,153.779,92.455,4.404,0.50242,0.30277,0.48613,0.51428,0.55106,0.67648,0.57056,0.84241,0.45242,0.36005,0.40242,0.32005,0,
squat_medium_01_borderline_depth,11,0.4583,1,опускание,squat,Присед,medium,средний,74,1,0.9,163.975,151.413,92.717,5.198,0.50207,0.30684,0.48262,0.52058,0.55045,0.67739,0.57179,0.84253,0.45207,0.3636,0.40207,0.3236,0,
squat_medium_01_borderline_depth,12,0.5,1,опускание,squat,Присед,medium,средний,74,1,0.9,162.933,148.839,92.999,6.022,0.50163,0.31121,0.47883,0.52733,0.54973,0.67841,0.57303,0.84271,0.45163,0.36741,0.40163,0.32741,0,
squat_medium_01_borderline_depth,13,0.5417,1,опускание,squat,Присед,medium,средний,74,1,0.9,161.752,146.064,93.299,6.868,0.50112,0.31587,0.47479,0.53447,0.54893,0.67954,0.57428,0.84296,0.45112,0.37148,0.40112,0.33148,0,
squat_medium_01_borderline_depth,14,0.5833,1,опускание,squat,Присед,medium,средний,74,1,0.9,160.427,143.096,93.614,7.724,0.50056,0.32077,0.47056,0.54197,0.54806,0.68076,0.57556,0.84326,0.45056,0.37577,0.40056,0.33577,0,
squat_medium_01_borderline_depth,15,0.625,1,опускание,squat,Присед,medium,средний,74,1,0.9,158.955,139.948,93.944,8.585,0.49998,0.32589,0.46618,0.54977,0.54716,0.68209,0.57688,0.84364,0.44998,0.38026,0.39998,0.34026,0,
