video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
squat_medium_02_moderate_forward_lean,0,0.0,1,верхняя фиксация,squat,Присед,medium,средний,70,1,0.9,168.623,165.256,91.146,0.0,0.5,0.283,0.5,0.483,0.55,0.673,0.56,0.843,0.45,0.343,0.4,0.303,0,
squat_medium_02_moderate_forward_lean,1,0.0417,1,верхняя фиксация,squat,Присед,medium,средний,70,1,0.9,168.577,165.081,91.181,0.091,0.50082,0.28323,0.5005,0.48337,0.55071,0.67304,0.56083,0.84299,0.45078,0.3432,0.40078,0.3032,0,
squat_medium_02_moderate_forward_lean,2,0.0833,1,верхняя фиксация,squat,Присед,medium,средний,70,1,0.9,168.439,164.554,91.286,0.363,0.50178,0.28393,0.50051,0.48446,0.55136,0.67315,0.56181,0.84296,0.45164,0.3438,0.40164,0.3038,0,
squat_medium_02_moderate_forward_lean,3,0.125,1,верхняя фиксация,squat,Присед,medium,средний,70,1,0.9,168.206,163.678,91.461,0.812,0.50286,0.28508,0.50001,0.48628,0.55192,0.67334,0.56293,0.84291,0.45254,0.34479,0.40254,0.30479,0,
squat_medium_02_moderate_forward_lean,4,0.1667,1,верхняя фиксация,squat,Присед,medium,средний,70,1,0.9,167.874,162.456,91.705,1.431,0.50402,0.28669,0.49897,0.48882,0.55235,0.67361,0.56414,0.84285,0.45345,0.34618,0.40345,0.30618,0,
squat_medium_02_moderate_forward_lean,5,0.2083,1,верхняя фиксация,squat,Присед,medium,средний,70,1,0.9,167.436,160.895,92.014,2.21,0.50523,0.28875,0.49738,0.49205,0.55264,0.67397,0.56543,0.84278,0.45435,0.34795,0.40435,0.30795,0,
squat_medium_02_moderate_forward_lean,6,0.25,1,опускание,squat,Присед,medium,средний,70,1,0.9,166.885,158.998,92.388,3.136,0.50646,0.29125,0.49525,0.49598,0.55276,0.67442,0.56675,0.84271,0.45521,0.35011,0.40521,0.31011,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,7,0.2917,1,опускание,squat,Присед,medium,средний,70,1,0.9,166.212,156.776,92.822,4.196,0.50771,0.29418,0.49257,0.50056,0.55271,0.67496,0.56809,0.84265,0.45602,0.35264,0.40602,0.31264,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,8,0.3333,1,опускание,squat,Присед,medium,средний,70,1,0.9,165.407,154.235,93.315,5.373,0.50895,0.29753,0.48936,0.50578,0.55248,0.6756,0.56945,0.84262,0.45676,0.35554,0.40676,0.31554,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,9,0.375,1,опускание,squat,Присед,medium,средний,70,1,0.9,164.459,151.387,93.862,6.65,0.51017,0.30128,0.48565,0.51162,0.55208,0.67635,0.57079,0.84261,0.45743,0.35879,0.40743,0.31879,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,10,0.4167,1,опускание,squat,Присед,medium,средний,70,1,0.9,163.357,148.243,94.459,8.008,0.51137,0.30542,0.48146,0.51802,0.5515,0.6772,0.57213,0.84265,0.45803,0.36239,0.40803,0.32239,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,11,0.4583,1,опускание,squat,Присед,medium,средний,70,1,0.9,162.092,144.817,95.1,9.427,0.51255,0.30992,0.47685,0.52497,0.55077,0.67818,0.57346,0.84274,0.45857,0.3663,0.40857,0.3263,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,12,0.5,1,опускание,squat,Присед,medium,средний,70,1,0.9,160.656,141.124,95.782,10.888,0.51373,0.31477,0.47186,0.53241,0.54991,0.67927,0.57479,0.84289,0.45905,0.37052,0.40905,0.33052,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,13,0.5417,1,опускание,squat,Присед,medium,средний,70,1,0.9,159.043,137.183,96.499,12.373,0.5149,0.31993,0.46656,0.54029,0.54895,0.68048,0.57612,0.84312,0.4595,0.37502,0.4095,0.33502,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,14,0.5833,1,опускание,squat,Присед,medium,средний,70,1,0.9,157.253,133.018,97.244,13.864,0.51608,0.32537,0.46099,0.54858,0.5479,0.68181,0.57748,0.84342,0.45993,0.37978,0.40993,0.33978,0,умеренный наклон корпуса
squat_medium_02_moderate_forward_lean,15,0.625,1,опускание,squat,Присед,medium,средний,70,1,0.9,155.291,128.657,98.013,15.345,0.5173,0.33106,0.45524,0.55721,0.54682,0.68326,0.57887,0.84381,0.46037,0.38476,0.41037,0.34476,0,умеренный наклон корпуса
