video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
deadlift_bad_01_no_lockout,0,0.0,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,153.825,89.593,179.225,52.8,0.6256,0.43224,0.4408,0.57251,0.5236,0.68,0.56,0.86,0.594,0.6116,0.56,0.7904,0,
deadlift_bad_01_no_lockout,1,0.0417,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,153.858,89.698,179.211,52.739,0.62545,0.43205,0.44091,0.57243,0.52364,0.68,0.56,0.86,0.59394,0.61151,0.56,0.7903,0,
deadlift_bad_01_no_lockout,2,0.0833,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,153.96,90.016,179.17,52.558,0.625,0.4315,0.44125,0.5722,0.52375,0.68,0.56,0.86,0.59375,0.61125,0.56,0.79,0,
deadlift_bad_01_no_lockout,3,0.125,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,154.127,90.544,179.102,52.255,0.62425,0.43058,0.44181,0.57181,0.52394,0.68,0.56,0.86,0.59344,0.61081,0.56,0.7895,0,
deadlift_bad_01_no_lockout,4,0.1667,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,154.36,91.279,179.009,51.831,0.62321,0.42929,0.44259,0.57127,0.5242,0.68,0.56,0.86,0.593,0.61021,0.56,0.78881,0,
deadlift_bad_01_no_lockout,5,0.2083,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,154.655,92.22,178.893,51.287,0.62189,0.42766,0.44358,0.57058,0.52453,0.68,0.56,0.86,0.59245,0.60944,0.56,0.78793,0,
deadlift_bad_01_no_lockout,6,0.25,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,155.01,93.361,178.757,50.622,0.62029,0.4257,0.44478,0.56975,0.52493,0.68,0.56,0.86,0.59179,0.60851,0.56,0.78686,0,
deadlift_bad_01_no_lockout,7,0.2917,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,155.42,94.699,178.603,49.838,0.61844,0.42341,0.44617,0.56879,0.52539,0.68,0.56,0.86,0.59102,0.60742,0.56,0.78563,0,
deadlift_bad_01_no_lockout,8,0.3333,1,старт/низ,deadlift,Тяга,bad,плохой,40,1,0.84,155.883,96.225,178.434,48.936,0.61634,0.42081,0.44775,0.56769,0.52592,0.68,0.56,0.86,0.59014,0.6062,0.56,0.78422,0,
deadlift_bad_01_no_lockout,9,0.375,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,156.394,97.933,178.254,47.918,0.614,0.41794,0.4495,0.56648,0.5265,0.68,0.56,0.86,0.58917,0.60483,0.56,0.78267,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,10,0.4167,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,156.946,99.813,178.067,46.787,0.61145,0.41479,0.45141,0.56516,0.52714,0.68,0.56,0.86,0.58811,0.60335,0.56,0.78097,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,11,0.4583,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,157.536,101.854,177.876,45.546,0.60871,0.41141,0.45346,0.56373,0.52782,0.68,0.56,0.86,0.58696,0.60175,0.56,0.77914,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,12,0.5,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,158.156,104.044,177.684,44.201,0.6058,0.40782,0.45565,0.56222,0.52855,0.68,0.56,0.86,0.58575,0.60005,0.56,0.7772,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,13,0.5417,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,158.802,106.369,177.495,42.759,0.60274,0.40404,0.45795,0.56062,0.52932,0.68,0.56,0.86,0.58447,0.59826,0.56,0.77516,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,14,0.5833,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,159.466,108.812,177.311,41.227,0.59954,0.4001,0.46034,0.55896,0.53011,0.68,0.56,0.86,0.58314,0.5964,0.56,0.77303,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,15,0.625,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,160.142,111.355,177.136,39.615,0.59625,0.39604,0.46281,0.55725,0.53094,0.68,0.56,0.86,0.58177,0.59448,0.56,0.77083,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,16,0.6667,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,160.825,113.979,176.971,37.936,0.59288,0.39188,0.46534,0.5555,0.53178,0.68,0.56,0.86,0.58037,0.59251,0.56,0.76858,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,17,0.7083,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,161.507,116.662,176.818,36.201,0.58945,0.38766,0.46791,0.55371,0.53264,0.68,0.56,0.86,0.57894,0.59051,0.56,0.7663,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,18,0.75,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,162.183,119.382,176.679,34.426,0.586,0.3834,0.4705,0.55192,0.5335,0.68,0.56,0.86,0.5775,0.5885,0.56,0.764,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,19,0.7917,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,162.848,122.116,176.554,32.627,0.58255,0.37914,0.47309,0.55013,0.53436,0.68,0.56,0.86,0.57606,0.58649,0.56,0.7617,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,20,0.8333,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,163.496,124.837,176.445,30.82,0.57912,0.37492,0.47566,0.54834,0.53522,0.68,0.56,0.86,0.57463,0.58449,0.56,0.75942,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,21,0.875,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,164.123,127.523,176.35,29.025,0.57575,0.37076,0.47819,0.54659,0.53606,0.68,0.56,0.86,0.57323,0.58252,0.56,0.75717,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,22,0.9167,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,164.724,130.149,176.271,27.257,0.57246,0.3667,0.48066,0.54488,0.53689,0.68,0.56,0.86,0.57186,0.5806,0.56,0.75497,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,23,0.9583,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,165.295,132.692,176.205,25.536,0.56926,0.36276,0.48305,0.54322,0.53768,0.68,0.56,0.86,0.57053,0.57874,0.56,0.75284,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,24,1.0,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,165.833,135.129,176.153,23.877,0.5662,0.35898,0.48535,0.54162,0.53845,0.68,0.56,0.86,0.56925,0.57695,0.56,0.7508,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,25,1.0417,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,166.336,137.44,176.112,22.298,0.56329,0.35539,0.48754,0.54011,0.53918,0.68,0.56,0.86,0.56804,0.57525,0.56,0.74886,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,26,1.0833,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,166.8,139.606,176.082,20.811,0.56055,0.35201,0.48959,0.53868,0.53986,0.68,0.56,0.86,0.56689,0.57365,0.56,0.74703,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,27,1.125,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,167.224,141.61,176.062,19.432,0.558,0.34886,0.4915,0.53736,0.5405,0.68,0.56,0.86,0.56583,0.57217,0.56,0.74533,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,28,1.1667,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,167.607,143.437,176.048,18.171,0.55566,0.34599,0.49325,0.53615,0.54108,0.68,0.56,0.86,0.56486,0.5708,0.56,0.74378,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,29,1.2083,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,167.947,145.076,176.041,17.037,0.55356,0.34339,0.49483,0.53505,0.54161,0.68,0.56,0.86,0.56398,0.56958,0.56,0.74237,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,30,1.25,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,168.242,146.514,176.038,16.04,0.55171,0.3411,0.49622,0.53409,0.54207,0.68,0.56,0.86,0.56321,0.56849,0.56,0.74114,0,колени и таз не разогнуты
deadlift_bad_01_no_lockout,31,1.2917,1,подъем,deadlift,Тяга,bad,плохой,40,1,0.84,168.493,147.745,176.038,15.187,0.55011,0.33914,0.49742,0.53326,0.54247,0.68,0.56,0.86,0.56255,0.56756,0.56,0.74007,0,колени и таз не разогнуты
