video_id,frame,time_sec,rep_index,phase,exercise,exercise_ru,quality_label,quality_label_ru,frame_score,pose_found,mean_visibility,knee_angle_deg,hip_angle_deg,elbow_angle_deg,torso_angle_deg,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_below_knee,errors_active
deadlift_bad_02_bar_far_reverse,0,0.0,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,147.556,77.909,167.442,58.766,0.65858,0.4194,0.4175,0.5656,0.5254,0.68,0.56,0.86,0.6402,0.6074,0.662,0.7856,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,1,0.0417,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,147.612,78.052,167.468,58.693,0.65832,0.41913,0.4177,0.56548,0.52545,0.68,0.56,0.86,0.64003,0.60729,0.66184,0.78548,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,2,0.0833,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,147.78,78.482,167.548,58.474,0.65753,0.41834,0.41828,0.5651,0.52559,0.68,0.56,0.86,0.63951,0.60696,0.66138,0.7851,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,3,0.125,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,148.058,79.199,167.68,58.108,0.65622,0.41703,0.41925,0.56448,0.52582,0.68,0.56,0.86,0.63866,0.60642,0.6606,0.78448,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,4,0.1667,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,148.446,80.201,167.861,57.592,0.6544,0.4152,0.42059,0.56362,0.52614,0.68,0.56,0.86,0.63748,0.60567,0.65953,0.78362,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,5,0.2083,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,148.939,81.489,168.087,56.924,0.65209,0.41287,0.4223,0.56253,0.52655,0.68,0.56,0.86,0.63597,0.60471,0.65816,0.78253,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,6,0.25,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,149.535,83.06,168.356,56.101,0.6493,0.41006,0.42437,0.56121,0.52705,0.68,0.56,0.86,0.63416,0.60355,0.65651,0.78121,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,7,0.2917,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,150.228,84.915,168.661,55.117,0.64605,0.40679,0.42677,0.55967,0.52762,0.68,0.56,0.86,0.63204,0.60221,0.65459,0.77967,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,8,0.3333,1,старт/низ,deadlift,Тяга,bad,плохой,34,1,0.84,151.014,87.048,168.999,53.971,0.64237,0.40309,0.42949,0.55793,0.52828,0.68,0.56,0.86,0.62965,0.60069,0.65241,0.77793,0,штанга далеко от линии стопы|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,9,0.375,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,151.884,89.457,169.364,52.656,0.63829,0.39899,0.43251,0.55599,0.529,0.68,0.56,0.86,0.62699,0.59899,0.64999,0.77599,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,10,0.4167,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,152.831,92.135,169.75,51.171,0.63383,0.3945,0.43581,0.55388,0.52979,0.68,0.56,0.86,0.62409,0.59715,0.64735,0.77388,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,11,0.4583,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,153.847,95.073,170.151,49.512,0.62903,0.38968,0.43935,0.55161,0.53065,0.68,0.56,0.86,0.62097,0.59516,0.64452,0.77162,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,12,0.5,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,154.922,98.262,170.563,47.678,0.62394,0.38455,0.44312,0.5492,0.53155,0.68,0.56,0.86,0.61765,0.59305,0.6415,0.76921,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,13,0.5417,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,156.044,101.686,170.981,45.672,0.61857,0.37916,0.44709,0.54666,0.5325,0.68,0.56,0.86,0.61416,0.59084,0.63833,0.7667,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,14,0.5833,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,157.202,105.327,171.4,43.498,0.61299,0.37354,0.45122,0.54402,0.53349,0.68,0.56,0.86,0.61053,0.58857,0.63502,0.76414,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,15,0.625,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,158.386,109.164,171.821,41.164,0.60722,0.36774,0.45549,0.54129,0.53452,0.68,0.56,0.86,0.60677,0.58632,0.63161,0.7617,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,16,0.6667,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,159.581,113.167,172.245,38.683,0.60132,0.3618,0.45985,0.5385,0.53556,0.68,0.56,0.86,0.60293,0.58422,0.62812,0.75968,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,17,0.7083,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,160.778,117.306,172.681,36.073,0.59533,0.35577,0.46428,0.53566,0.53663,0.68,0.56,0.86,0.59903,0.58256,0.62457,0.75864,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,18,0.75,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,161.963,121.543,173.143,33.358,0.58929,0.3497,0.46875,0.5328,0.5377,0.68,0.56,0.86,0.5951,0.58171,0.621,0.75943,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,19,0.7917,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,163.127,125.836,173.639,30.565,0.58325,0.34363,0.47322,0.52994,0.53877,0.68,0.56,0.86,0.59117,0.58209,0.61743,0.76291,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
deadlift_bad_02_bar_far_reverse,20,0.8333,1,подъем,deadlift,Тяга,bad,плохой,34,1,0.84,164.259,130.14,174.167,27.727,0.57726,0.3376,0.47765,0.5271,0.53984,0.68,0.56,0.86,0.58727,0.58386,0.61388,0.76943,0,штанга далеко от линии стопы|обратное движение снаряда|сильный наклон корпуса
