frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.42,0.37,0.0,0.95,0.445,0.37,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
1,0.03333333333333333,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4199792706762232,0.37004145864755356,0.0,0.95,0.4449792706762232,0.37004145864755356,0.0,0.95,0.42000690977459226,0.18008982706969934,0.0,0.95,0.4450069097745923,0.18008982706969934,0.0,0.95,0.42000690977459226,0.18008982706969934,0.0,0.95,0.4450069097745923,0.18008982706969934,0.0,0.95,0.42000690977459226,0.18008982706969934,0.0,0.95,0.4450069097745923,0.18008982706969934,0.0,0.95,0.42000690977459226,0.18008982706969934,0.0,0.95,0.4450069097745923,0.18008982706969934,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
2,0.06666666666666667,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4199171399988748,0.3701657200022504,0.0,0.95,0.44491713999887483,0.3701657200022504,0.0,0.95,0.4200276200003751,0.18035906000487584,0.0,0.95,0.4450276200003751,0.18035906000487584,0.0,0.95,0.4200276200003751,0.18035906000487584,0.0,0.95,0.4450276200003751,0.18035906000487584,0.0,0.95,0.4200276200003751,0.18035906000487584,0.0,0.95,0.4450276200003751,0.18035906000487584,0.0,0.95,0.4200276200003751,0.18035906000487584,0.0,0.95,0.4450276200003751,0.18035906000487584,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
3,0.1,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.419813779691545,0.3703724406169099,0.0,0.95,0.444813779691545,0.3703724406169099,0.0,0.95,0.4200620734361516,0.18080695466997151,0.0,0.95,0.4450620734361516,0.18080695466997151,0.0,0.95,0.4200620734361516,0.18080695466997151,0.0,0.95,0.4450620734361516,0.18080695466997151,0.0,0.95,0.4200620734361516,0.18080695466997151,0.0,0.95,0.4450620734361516,0.18080695466997151,0.0,0.95,0.4200620734361516,0.18080695466997151,0.0,0.95,0.4450620734361516,0.18080695466997151,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
4,0.13333333333333333,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.41966947543280403,0.3706610491343918,0.0,0.95,0.44466947543280405,0.3706610491343918,0.0,0.95,0.42011017485573193,0.18143227312451563,0.0,0.95,0.44511017485573195,0.18143227312451563,0.0,0.95,0.42011017485573193,0.18143227312451563,0.0,0.95,0.44511017485573195,0.18143227312451563,0.0,0.95,0.42011017485573193,0.18143227312451563,0.0,0.95,0.44511017485573195,0.18143227312451563,0.0,0.95,0.42011017485573193,0.18143227312451563,0.0,0.95,0.44511017485573195,0.18143227312451563,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
5,0.16666666666666666,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4194846260666122,0.3710307478667756,0.0,0.95,0.4444846260666122,0.3710307478667756,0.0,0.95,0.42017179131112925,0.18223328704468048,0.0,0.95,0.4451717913111293,0.18223328704468048,0.0,0.95,0.42017179131112925,0.18223328704468048,0.0,0.95,0.4451717913111293,0.18223328704468048,0.0,0.95,0.42017179131112925,0.18223328704468048,0.0,0.95,0.4451717913111293,0.18223328704468048,0.0,0.95,0.42017179131112925,0.18223328704468048,0.0,0.95,0.4451717913111293,0.18223328704468048,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.7300000000000001,0.0,0.95,0.795,0.7300000000000001,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
6,0.2,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4192597424999509,0.3714805150000981,0.0,0.95,0.4442597424999509,0.3714805150000981,0.0,0.95,0.4202467525000163,0.18320778250021255,0.0,0.95,0.44524675250001633,0.18320778250021255,0.0,0.95,0.4202467525000163,0.18320778250021255,0.0,0.95,0.44524675250001633,0.18320778250021255,0.0,0.95,0.4202467525000163,0.18320778250021255,0.0,0.95,0.44524675250001633,0.18320778250021255,0.0,0.95,0.4202467525000163,0.18320778250021255,0.0,0.95,0.44524675250001633,0.18320778250021255,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
7,0.23333333333333334,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.41899544629072233,0.37200910741855525,0.0,0.95,0.44399544629072235,0.37200910741855525,0.0,0.95,0.42033485123642583,0.18435306607353638,0.0,0.95,0.44533485123642585,0.18435306607353638,0.0,0.95,0.42033485123642583,0.18435306607353638,0.0,0.95,0.44533485123642585,0.18435306607353638,0.0,0.95,0.42033485123642583,0.18435306607353638,0.0,0.95,0.44533485123642585,0.18435306607353638,0.0,0.95,0.42033485123642583,0.18435306607353638,0.0,0.95,0.44533485123642585,0.18435306607353638,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
8,0.26666666666666666,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.418692467929819,0.37261506414036194,0.0,0.95,0.44369246792981903,0.37261506414036194,0.0,0.95,0.4204358440233936,0.1856659723041176,0.0,0.95,0.44543584402339365,0.1856659723041176,0.0,0.95,0.4204358440233936,0.1856659723041176,0.0,0.95,0.44543584402339365,0.1856659723041176,0.0,0.95,0.4204358440233936,0.1856659723041176,0.0,0.95,0.44543584402339365,0.1856659723041176,0.0,0.95,0.4204358440233936,0.1856659723041176,0.0,0.95,0.44543584402339365,0.1856659723041176,0.0,0.95,0.6499999999999999,0.58,0.0,0.95,0.6749999999999999,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
9,0.3,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4183516448221129,0.37329671035577405,0.0,0.95,0.4433516448221129,0.37329671035577405,0.0,0.95,0.4205494517259623,0.18714287243751052,0.0,0.95,0.44554945172596233,0.18714287243751052,0.0,0.95,0.4205494517259623,0.18714287243751052,0.0,0.95,0.44554945172596233,0.18714287243751052,0.0,0.95,0.4205494517259623,0.18714287243751052,0.0,0.95,0.44554945172596233,0.18714287243751052,0.0,0.95,0.4205494517259623,0.18714287243751052,0.0,0.95,0.44554945172596233,0.18714287243751052,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.8800000000000001,0.76,0.0,0.95,0.9050000000000001,0.76,0.0,0.95,0.8500000000000001,0.78,0.0,0.95,0.8750000000000001,0.78,0.0,0.95,0.9300000000000002,0.78,0.0,0.95,0.9550000000000002,0.78,0.0,0.95
