frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.42,0.37,0.0,0.95,0.445,0.37,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.42,0.18,0.0,0.95,0.445,0.18,0.0,0.95,0.65,0.58,0.0,0.95,0.675,0.58,0.0,0.95,0.77,0.73,0.0,0.95,0.795,0.73,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
1,0.03333333333333333,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4199516315778542,0.37005527819673806,0.0,0.95,0.4449516315778542,0.37005527819673806,0.0,0.95,0.42022111278695223,0.18011746616806837,0.0,0.95,0.44522111278695226,0.18011746616806837,0.0,0.95,0.42022111278695223,0.18011746616806837,0.0,0.95,0.44522111278695226,0.18011746616806837,0.0,0.95,0.42022111278695223,0.18011746616806837,0.0,0.95,0.44522111278695226,0.18011746616806837,0.0,0.95,0.42022111278695223,0.18011746616806837,0.0,0.95,0.44522111278695226,0.18011746616806837,0.0,0.95,0.65,0.5798894436065238,0.0,0.95,0.675,0.5798894436065238,0.0,0.95,0.77,0.7299239924794851,0.0,0.95,0.795,0.7299239924794851,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
2,0.06666666666666667,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.41980665999737454,0.37022096000300053,0.0,0.95,0.44480665999737456,0.37022096000300053,0.0,0.95,0.4208838400120021,0.18046954000637608,0.0,0.95,0.4458838400120021,0.18046954000637608,0.0,0.95,0.4208838400120021,0.18046954000637608,0.0,0.95,0.4458838400120021,0.18046954000637608,0.0,0.95,0.4208838400120021,0.18046954000637608,0.0,0.95,0.4458838400120021,0.18046954000637608,0.0,0.95,0.4208838400120021,0.18046954000637608,0.0,0.95,0.4458838400120021,0.18046954000637608,0.0,0.95,0.65,0.579558079993999,0.0,0.95,0.675,0.579558079993999,0.0,0.95,0.77,0.7296961799958742,0.0,0.95,0.795,0.7296961799958742,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
3,0.1,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4195654859469384,0.3704965874892132,0.0,0.95,0.4445654859469384,0.3704965874892132,0.0,0.95,0.4219863499568529,0.18105524841457812,0.0,0.95,0.44698634995685294,0.18105524841457812,0.0,0.95,0.4219863499568529,0.18105524841457812,0.0,0.95,0.44698634995685294,0.18105524841457812,0.0,0.95,0.4219863499568529,0.18105524841457812,0.0,0.95,0.44698634995685294,0.18105524841457812,0.0,0.95,0.4219863499568529,0.18105524841457812,0.0,0.95,0.44698634995685294,0.18105524841457812,0.0,0.95,0.65,0.5790068250215735,0.0,0.95,0.675,0.5790068250215735,0.0,0.95,0.77,0.7293171922023318,0.0,0.95,0.795,0.7293171922023318,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
4,0.13333333333333333,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4192287760098762,0.37088139884585575,0.0,0.95,0.4442287760098762,0.37088139884585575,0.0,0.95,0.42352559538342305,0.1818729725474435,0.0,0.95,0.44852559538342307,0.1818729725474435,0.0,0.95,0.42352559538342305,0.1818729725474435,0.0,0.95,0.44852559538342307,0.1818729725474435,0.0,0.95,0.42352559538342305,0.1818729725474435,0.0,0.95,0.44852559538342307,0.1818729725474435,0.0,0.95,0.42352559538342305,0.1818729725474435,0.0,0.95,0.44852559538342307,0.1818729725474435,0.0,0.95,0.65,0.5782372023082885,0.0,0.95,0.675,0.5782372023082885,0.0,0.95,0.77,0.7287880765869483,0.0,0.95,0.795,0.7287880765869483,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
5,0.16666666666666666,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4187974608220951,0.3713743304890341,0.0,0.95,0.44379746082209515,0.3713743304890341,0.0,0.95,0.42549732195613654,0.18292045228919754,0.0,0.95,0.45049732195613656,0.18292045228919754,0.0,0.95,0.42549732195613654,0.18292045228919754,0.0,0.95,0.45049732195613656,0.18292045228919754,0.0,0.95,0.42549732195613654,0.18292045228919754,0.0,0.95,0.45049732195613656,0.18292045228919754,0.0,0.95,0.42549732195613654,0.18292045228919754,0.0,0.95,0.45049732195613656,0.18292045228919754,0.0,0.95,0.65,0.5772513390219317,0.0,0.95,0.675,0.5772513390219317,0.0,0.95,0.77,0.7281102955775781,0.0,0.95,0.795,0.7281102955775781,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
6,0.2,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4182727324998855,0.3719740200001308,0.0,0.95,0.4432727324998855,0.3719740200001308,0.0,0.95,0.42789608000052326,0.18419479250027795,0.0,0.95,0.4528960800005233,0.18419479250027795,0.0,0.95,0.42789608000052326,0.18419479250027795,0.0,0.95,0.4528960800005233,0.18419479250027795,0.0,0.95,0.42789608000052326,0.18419479250027795,0.0,0.95,0.4528960800005233,0.18419479250027795,0.0,0.95,0.42789608000052326,0.18419479250027795,0.0,0.95,0.4528960800005233,0.18419479250027795,0.0,0.95,0.65,0.5760519599997383,0.0,0.95,0.675,0.5760519599997383,0.0,0.95,0.77,0.7272857224998202,0.0,0.95,0.795,0.7272857224998202,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
7,0.23333333333333334,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.4176560413450188,0.372678809891407,0.0,0.95,0.44265604134501885,0.372678809891407,0.0,0.95,0.43071523956562807,0.18569247101923989,0.0,0.95,0.4557152395656281,0.18569247101923989,0.0,0.95,0.43071523956562807,0.18569247101923989,0.0,0.95,0.4557152395656281,0.18569247101923989,0.0,0.95,0.43071523956562807,0.18569247101923989,0.0,0.95,0.4557152395656281,0.18569247101923989,0.0,0.95,0.43071523956562807,0.18569247101923989,0.0,0.95,0.4557152395656281,0.18569247101923989,0.0,0.95,0.65,0.5746423802171859,0.0,0.95,0.675,0.5746423802171859,0.0,0.95,0.77,0.7263166363993153,0.0,0.95,0.795,0.7263166363993153,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
8,0.26666666666666666,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.41694909183624435,0.3734867521871493,0.0,0.95,0.44194909183624437,0.3734867521871493,0.0,0.95,0.43394700874859715,0.18740934839769224,0.0,0.95,0.4589470087485972,0.18740934839769224,0.0,0.95,0.43394700874859715,0.18740934839769224,0.0,0.95,0.4589470087485972,0.18740934839769224,0.0,0.95,0.43394700874859715,0.18740934839769224,0.0,0.95,0.4589470087485972,0.18740934839769224,0.0,0.95,0.43394700874859715,0.18740934839769224,0.0,0.95,0.4589470087485972,0.18740934839769224,0.0,0.95,0.6499999999999999,0.5730264956257013,0.0,0.95,0.6749999999999999,0.5730264956257013,0.0,0.95,0.77,0.7252057157426697,0.0,0.95,0.795,0.7252057157426697,0.0,0.95,0.88,0.76,0.0,0.95,0.905,0.76,0.0,0.95,0.85,0.78,0.0,0.95,0.875,0.78,0.0,0.95,0.93,0.78,0.0,0.95,0.9550000000000001,0.78,0.0,0.95
9,0.3,1.0,0.43,0.45999999999999996,0.0,0.95,0.41,0.44499999999999995,0.0,0.95,0.40499999999999997,0.44499999999999995,0.0,0.95,0.39999999999999997,0.44499999999999995,0.0,0.95,0.43,0.44499999999999995,0.0,0.95,0.435,0.44499999999999995,0.0,0.95,0.44,0.44499999999999995,0.0,0.95,0.385,0.45499999999999996,0.0,0.95,0.45499999999999996,0.45499999999999996,0.0,0.95,0.41,0.475,0.0,0.95,0.43,0.475,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.41615383791826355,0.37439561380769876,0.0,0.95,0.44115383791826357,0.37439561380769876,0.0,0.95,0.4375824552307951,0.1893406793413599,0.0,0.95,0.4625824552307951,0.1893406793413599,0.0,0.95,0.4375824552307951,0.1893406793413599,0.0,0.95,0.4625824552307951,0.1893406793413599,0.0,0.95,0.4375824552307951,0.1893406793413599,0.0,0.95,0.4625824552307951,0.1893406793413599,0.0,0.95,0.4375824552307951,0.1893406793413599,0.0,0.95,0.4625824552307951,0.1893406793413599,0.0,0.95,0.65,0.5712087723846024,0.0,0.95,0.675,0.5712087723846024,0.0,0.95,0.77,0.7239560310144142,0.0,0.95,0.795,0.7239560310144142,0.0,0.95,0.8800000000000001,0.76,0.0,0.95,0.9050000000000001,0.76,0.0,0.95,0.8500000000000001,0.78,0.0,0.95,0.8750000000000001,0.78,0.0,0.95,0.9300000000000002,0.78,0.0,0.95,0.9550000000000002,0.78,0.0,0.95
