frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.63,0.3,0.0,0.95,0.61,0.285,0.0,0.95,0.605,0.285,0.0,0.95,0.6,0.285,0.0,0.95,0.63,0.285,0.0,0.95,0.635,0.285,0.0,0.95,0.64,0.285,0.0,0.95,0.585,0.295,0.0,0.95,0.655,0.295,0.0,0.95,0.61,0.315,0.0,0.95,0.63,0.315,0.0,0.95,0.62,0.42,0.0,0.95,0.645,0.42,0.0,0.95,0.59,0.6,0.0,0.95,0.615,0.6,0.0,0.95,0.6,0.73,0.0,0.95,0.625,0.73,0.0,0.95,0.6,0.73,0.0,0.95,0.625,0.73,0.0,0.95,0.6,0.73,0.0,0.95,0.625,0.73,0.0,0.95,0.6,0.73,0.0,0.95,0.625,0.73,0.0,0.95,0.42,0.58,0.0,0.95,0.445,0.58,0.0,0.95,0.58,0.7,0.0,0.95,0.605,0.7,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
1,0.03333333333333333,1.0,0.6300207293237768,0.30004145864755355,0.0,0.95,0.6100207293237768,0.28504145864755354,0.0,0.95,0.6050207293237768,0.28504145864755354,0.0,0.95,0.6000207293237768,0.28504145864755354,0.0,0.95,0.6300207293237768,0.28504145864755354,0.0,0.95,0.6350207293237768,0.28504145864755354,0.0,0.95,0.6400207293237768,0.28504145864755354,0.0,0.95,0.5850207293237768,0.29504145864755355,0.0,0.95,0.6550207293237769,0.29504145864755355,0.0,0.95,0.6100207293237768,0.31504145864755356,0.0,0.95,0.6300207293237768,0.31504145864755356,0.0,0.95,0.6200207293237768,0.42004145864755355,0.0,0.95,0.6450207293237769,0.42004145864755355,0.0,0.95,0.5900138195491844,0.6000345488729613,0.0,0.95,0.6150138195491844,0.6000345488729613,0.0,0.95,0.6,0.7300621879713303,0.0,0.95,0.625,0.7300621879713303,0.0,0.95,0.6,0.7300621879713303,0.0,0.95,0.625,0.7300621879713303,0.0,0.95,0.6,0.7300621879713303,0.0,0.95,0.625,0.7300621879713303,0.0,0.95,0.6,0.7300621879713303,0.0,0.95,0.625,0.7300621879713303,0.0,0.95,0.4199930902254077,0.580027639098369,0.0,0.95,0.44499309022540773,0.580027639098369,0.0,0.95,0.5799861804508154,0.7000138195491844,0.0,0.95,0.6049861804508154,0.7000138195491844,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
2,0.06666666666666667,1.0,0.6300828600011252,0.3001657200022504,0.0,0.95,0.6100828600011252,0.2851657200022504,0.0,0.95,0.6050828600011252,0.2851657200022504,0.0,0.95,0.6000828600011252,0.2851657200022504,0.0,0.95,0.6300828600011252,0.2851657200022504,0.0,0.95,0.6350828600011252,0.2851657200022504,0.0,0.95,0.6400828600011252,0.2851657200022504,0.0,0.95,0.5850828600011252,0.2951657200022504,0.0,0.95,0.6550828600011253,0.2951657200022504,0.0,0.95,0.6100828600011252,0.3151657200022504,0.0,0.95,0.6300828600011252,0.3151657200022504,0.0,0.95,0.6200828600011252,0.4201657200022504,0.0,0.95,0.6450828600011252,0.4201657200022504,0.0,0.95,0.59005524000075,0.6001381000018753,0.0,0.95,0.6150552400007501,0.6001381000018753,0.0,0.95,0.6,0.7302485800033756,0.0,0.95,0.625,0.7302485800033756,0.0,0.95,0.6,0.7302485800033756,0.0,0.95,0.625,0.7302485800033756,0.0,0.95,0.6,0.7302485800033756,0.0,0.95,0.625,0.7302485800033756,0.0,0.95,0.6,0.7302485800033756,0.0,0.95,0.625,0.7302485800033756,0.0,0.95,0.41997237999962495,0.5801104800015002,0.0,0.95,0.44497237999962497,0.5801104800015002,0.0,0.95,0.5799447599992499,0.7000552400007501,0.0,0.95,0.6049447599992499,0.7000552400007501,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
3,0.1,1.0,0.630186220308455,0.3003724406169099,0.0,0.95,0.6101862203084549,0.28537244061690986,0.0,0.95,0.6051862203084549,0.28537244061690986,0.0,0.95,0.6001862203084549,0.28537244061690986,0.0,0.95,0.630186220308455,0.28537244061690986,0.0,0.95,0.635186220308455,0.28537244061690986,0.0,0.95,0.640186220308455,0.28537244061690986,0.0,0.95,0.5851862203084549,0.29537244061690987,0.0,0.95,0.655186220308455,0.29537244061690987,0.0,0.95,0.6101862203084549,0.3153724406169099,0.0,0.95,0.630186220308455,0.3153724406169099,0.0,0.95,0.6201862203084549,0.42037244061690987,0.0,0.95,0.645186220308455,0.42037244061690987,0.0,0.95,0.5901241468723032,0.6003103671807583,0.0,0.95,0.6151241468723032,0.6003103671807583,0.0,0.95,0.6,0.7305586609253649,0.0,0.95,0.625,0.7305586609253649,0.0,0.95,0.6,0.7305586609253649,0.0,0.95,0.625,0.7305586609253649,0.0,0.95,0.6,0.7305586609253649,0.0,0.95,0.625,0.7305586609253649,0.0,0.95,0.6,0.7305586609253649,0.0,0.95,0.625,0.7305586609253649,0.0,0.95,0.4199379265638483,0.5802482937446066,0.0,0.95,0.44493792656384834,0.5802482937446066,0.0,0.95,0.5798758531276966,0.7001241468723033,0.0,0.95,0.6048758531276966,0.7001241468723033,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
4,0.13333333333333333,1.0,0.630330524567196,0.3006610491343918,0.0,0.95,0.6103305245671959,0.2856610491343918,0.0,0.95,0.6053305245671959,0.2856610491343918,0.0,0.95,0.6003305245671959,0.2856610491343918,0.0,0.95,0.630330524567196,0.2856610491343918,0.0,0.95,0.635330524567196,0.2856610491343918,0.0,0.95,0.640330524567196,0.2856610491343918,0.0,0.95,0.5853305245671959,0.2956610491343918,0.0,0.95,0.655330524567196,0.2956610491343918,0.0,0.95,0.6103305245671959,0.3156610491343918,0.0,0.95,0.630330524567196,0.3156610491343918,0.0,0.95,0.620330524567196,0.4206610491343918,0.0,0.95,0.645330524567196,0.4206610491343918,0.0,0.95,0.590220349711464,0.6005508742786598,0.0,0.95,0.615220349711464,0.6005508742786598,0.0,0.95,0.6,0.7309915737015877,0.0,0.95,0.625,0.7309915737015877,0.0,0.95,0.6,0.7309915737015877,0.0,0.95,0.625,0.7309915737015877,0.0,0.95,0.6,0.7309915737015877,0.0,0.95,0.625,0.7309915737015877,0.0,0.95,0.6,0.7309915737015877,0.0,0.95,0.625,0.7309915737015877,0.0,0.95,0.419889825144268,0.5804406994229279,0.0,0.95,0.444889825144268,0.5804406994229279,0.0,0.95,0.5797796502885361,0.7002203497114639,0.0,0.95,0.6047796502885361,0.7002203497114639,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
5,0.16666666666666666,1.0,0.6305153739333879,0.3010307478667756,0.0,0.95,0.6105153739333878,0.28603074786677557,0.0,0.95,0.6055153739333878,0.28603074786677557,0.0,0.95,0.6005153739333878,0.28603074786677557,0.0,0.95,0.6305153739333879,0.28603074786677557,0.0,0.95,0.6355153739333879,0.28603074786677557,0.0,0.95,0.6405153739333879,0.28603074786677557,0.0,0.95,0.5855153739333878,0.2960307478667756,0.0,0.95,0.6555153739333879,0.2960307478667756,0.0,0.95,0.6105153739333878,0.3160307478667756,0.0,0.95,0.6305153739333879,0.3160307478667756,0.0,0.95,0.6205153739333878,0.4210307478667756,0.0,0.95,0.6455153739333879,0.4210307478667756,0.0,0.95,0.5903435826222586,0.6008589565556464,0.0,0.95,0.6153435826222586,0.6008589565556464,0.0,0.95,0.6,0.7315461218001634,0.0,0.95,0.625,0.7315461218001634,0.0,0.95,0.6,0.7315461218001634,0.0,0.95,0.625,0.7315461218001634,0.0,0.95,0.6,0.7315461218001634,0.0,0.95,0.625,0.7315461218001634,0.0,0.95,0.6,0.7315461218001634,0.0,0.95,0.625,0.7315461218001634,0.0,0.95,0.4198282086888707,0.580687165244517,0.0,0.95,0.44482820868887074,0.580687165244517,0.0,0.95,0.5796564173777414,0.7003435826222585,0.0,0.95,0.6046564173777415,0.7003435826222585,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
6,0.2,1.0,0.630740257500049,0.3014805150000981,0.0,0.95,0.610740257500049,0.2864805150000981,0.0,0.95,0.605740257500049,0.2864805150000981,0.0,0.95,0.600740257500049,0.2864805150000981,0.0,0.95,0.630740257500049,0.2864805150000981,0.0,0.95,0.635740257500049,0.2864805150000981,0.0,0.95,0.640740257500049,0.2864805150000981,0.0,0.95,0.585740257500049,0.2964805150000981,0.0,0.95,0.655740257500049,0.2964805150000981,0.0,0.95,0.610740257500049,0.3164805150000981,0.0,0.95,0.630740257500049,0.3164805150000981,0.0,0.95,0.620740257500049,0.4214805150000981,0.0,0.95,0.645740257500049,0.4214805150000981,0.0,0.95,0.5904935050000326,0.6012337625000816,0.0,0.95,0.6154935050000326,0.6012337625000816,0.0,0.95,0.6,0.7322207725001472,0.0,0.95,0.625,0.7322207725001472,0.0,0.95,0.6,0.7322207725001472,0.0,0.95,0.625,0.7322207725001472,0.0,0.95,0.6,0.7322207725001472,0.0,0.95,0.625,0.7322207725001472,0.0,0.95,0.6,0.7322207725001472,0.0,0.95,0.625,0.7322207725001472,0.0,0.95,0.4197532474999836,0.5809870100000654,0.0,0.95,0.44475324749998363,0.5809870100000654,0.0,0.95,0.5795064949999673,0.7004935050000327,0.0,0.95,0.6045064949999673,0.7004935050000327,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
7,0.23333333333333334,1.0,0.6310045537092777,0.30200910741855524,0.0,0.95,0.6110045537092776,0.28700910741855523,0.0,0.95,0.6060045537092776,0.28700910741855523,0.0,0.95,0.6010045537092776,0.28700910741855523,0.0,0.95,0.6310045537092777,0.28700910741855523,0.0,0.95,0.6360045537092777,0.28700910741855523,0.0,0.95,0.6410045537092777,0.28700910741855523,0.0,0.95,0.5860045537092776,0.29700910741855524,0.0,0.95,0.6560045537092777,0.29700910741855524,0.0,0.95,0.6110045537092776,0.31700910741855526,0.0,0.95,0.6310045537092777,0.31700910741855526,0.0,0.95,0.6210045537092777,0.42200910741855524,0.0,0.95,0.6460045537092777,0.42200910741855524,0.0,0.95,0.5906697024728518,0.6016742561821293,0.0,0.95,0.6156697024728518,0.6016742561821293,0.0,0.95,0.6,0.7330136611278328,0.0,0.95,0.625,0.7330136611278328,0.0,0.95,0.6,0.7330136611278328,0.0,0.95,0.625,0.7330136611278328,0.0,0.95,0.6,0.7330136611278328,0.0,0.95,0.625,0.7330136611278328,0.0,0.95,0.6,0.7330136611278328,0.0,0.95,0.625,0.7330136611278328,0.0,0.95,0.4196651487635741,0.5813394049457035,0.0,0.95,0.4446651487635741,0.5813394049457035,0.0,0.95,0.5793302975271483,0.7006697024728518,0.0,0.95,0.6043302975271483,0.7006697024728518,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
8,0.26666666666666666,1.0,0.6313075320701811,0.30261506414036193,0.0,0.95,0.6113075320701811,0.2876150641403619,0.0,0.95,0.6063075320701811,0.2876150641403619,0.0,0.95,0.6013075320701811,0.2876150641403619,0.0,0.95,0.6313075320701811,0.2876150641403619,0.0,0.95,0.6363075320701811,0.2876150641403619,0.0,0.95,0.6413075320701811,0.2876150641403619,0.0,0.95,0.586307532070181,0.29761506414036193,0.0,0.95,0.6563075320701811,0.29761506414036193,0.0,0.95,0.6113075320701811,0.31761506414036195,0.0,0.95,0.6313075320701811,0.31761506414036195,0.0,0.95,0.6213075320701811,0.42261506414036193,0.0,0.95,0.6463075320701811,0.42261506414036193,0.0,0.95,0.5908716880467874,0.6021792201169682,0.0,0.95,0.6158716880467874,0.6021792201169682,0.0,0.95,0.6,0.7339225962105429,0.0,0.95,0.625,0.7339225962105429,0.0,0.95,0.6,0.7339225962105429,0.0,0.95,0.625,0.7339225962105429,0.0,0.95,0.6,0.7339225962105429,0.0,0.95,0.625,0.7339225962105429,0.0,0.95,0.6,0.7339225962105429,0.0,0.95,0.625,0.7339225962105429,0.0,0.95,0.4195641559766063,0.5817433760935745,0.0,0.95,0.4445641559766063,0.5817433760935745,0.0,0.95,0.5791283119532126,0.7008716880467872,0.0,0.95,0.6041283119532126,0.7008716880467872,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
9,0.3,1.0,0.6316483551778871,0.30329671035577405,0.0,0.95,0.6116483551778871,0.28829671035577403,0.0,0.95,0.6066483551778871,0.28829671035577403,0.0,0.95,0.6016483551778871,0.28829671035577403,0.0,0.95,0.6316483551778871,0.28829671035577403,0.0,0.95,0.6366483551778871,0.28829671035577403,0.0,0.95,0.6416483551778871,0.28829671035577403,0.0,0.95,0.586648355177887,0.29829671035577404,0.0,0.95,0.6566483551778871,0.29829671035577404,0.0,0.95,0.6116483551778871,0.31829671035577406,0.0,0.95,0.6316483551778871,0.31829671035577406,0.0,0.95,0.6216483551778871,0.42329671035577404,0.0,0.95,0.6466483551778871,0.42329671035577404,0.0,0.95,0.5910989034519247,0.6027472586298117,0.0,0.95,0.6160989034519248,0.6027472586298117,0.0,0.95,0.6,0.7349450655336611,0.0,0.95,0.625,0.7349450655336611,0.0,0.95,0.6,0.7349450655336611,0.0,0.95,0.625,0.7349450655336611,0.0,0.95,0.6,0.7349450655336611,0.0,0.95,0.625,0.7349450655336611,0.0,0.95,0.6,0.7349450655336611,0.0,0.95,0.625,0.7349450655336611,0.0,0.95,0.4194505482740376,0.5821978069038494,0.0,0.95,0.4444505482740376,0.5821978069038494,0.0,0.95,0.5789010965480753,0.7010989034519246,0.0,0.95,0.6039010965480753,0.7010989034519246,0.0,0.95,0.63,0.86,0.0,0.95,0.655,0.86,0.0,0.95,0.6,0.88,0.0,0.95,0.625,0.88,0.0,0.95,0.68,0.88,0.0,0.95,0.7050000000000001,0.88,0.0,0.95
