frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.53,0.16000000000000003,0.0,0.95,0.51,0.14500000000000002,0.0,0.95,0.505,0.14500000000000002,0.0,0.95,0.5,0.14500000000000002,0.0,0.95,0.53,0.14500000000000002,0.0,0.95,0.535,0.14500000000000002,0.0,0.95,0.54,0.14500000000000002,0.0,0.95,0.485,0.15500000000000003,0.0,0.95,0.555,0.15500000000000003,0.0,0.95,0.51,0.17500000000000004,0.0,0.95,0.53,0.17500000000000004,0.0,0.95,0.52,0.28,0.0,0.95,0.545,0.28,0.0,0.95,0.67,0.55,0.0,0.95,0.6950000000000001,0.55,0.0,0.95,0.77,0.72,0.0,0.95,0.795,0.72,0.0,0.95,0.77,0.72,0.0,0.95,0.795,0.72,0.0,0.95,0.77,0.72,0.0,0.95,0.795,0.72,0.0,0.95,0.77,0.72,0.0,0.95,0.795,0.72,0.0,0.95,0.52,0.5,0.0,0.95,0.545,0.5,0.0,0.95,0.55,0.68,0.0,0.95,0.5750000000000001,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
1,0.03333333333333333,1.0,0.5301381954918452,0.16017965413939872,0.0,0.95,0.5101381954918451,0.1451796541393987,0.0,0.95,0.5051381954918451,0.1451796541393987,0.0,0.95,0.5001381954918451,0.1451796541393987,0.0,0.95,0.5301381954918452,0.1451796541393987,0.0,0.95,0.5351381954918452,0.1451796541393987,0.0,0.95,0.5401381954918452,0.1451796541393987,0.0,0.95,0.4851381954918451,0.15517965413939871,0.0,0.95,0.5551381954918452,0.15517965413939871,0.0,0.95,0.5101381954918451,0.17517965413939873,0.0,0.95,0.5301381954918452,0.17517965413939873,0.0,0.95,0.5201381954918451,0.2801796541393987,0.0,0.95,0.5451381954918452,0.2801796541393987,0.0,0.95,0.6700069097745923,0.5500621879713303,0.0,0.95,0.6950069097745923,0.5500621879713303,0.0,0.95,0.7700069097745923,0.7200690977459225,0.0,0.95,0.7950069097745923,0.7200690977459225,0.0,0.95,0.7700069097745923,0.7200690977459225,0.0,0.95,0.7950069097745923,0.7200690977459225,0.0,0.95,0.7700069097745923,0.7200690977459225,0.0,0.95,0.7950069097745923,0.7200690977459225,0.0,0.95,0.7700069097745923,0.7200690977459225,0.0,0.95,0.7950069097745923,0.7200690977459225,0.0,0.95,0.5199378120286697,0.5000690977459226,0.0,0.95,0.5449378120286698,0.5000690977459226,0.0,0.95,0.5499792706762232,0.68,0.0,0.95,0.5749792706762232,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
2,0.06666666666666667,1.0,0.5305524000075014,0.16071812000975172,0.0,0.95,0.5105524000075014,0.1457181200097517,0.0,0.95,0.5055524000075013,0.1457181200097517,0.0,0.95,0.5005524000075013,0.1457181200097517,0.0,0.95,0.5305524000075014,0.1457181200097517,0.0,0.95,0.5355524000075014,0.1457181200097517,0.0,0.95,0.5405524000075014,0.1457181200097517,0.0,0.95,0.48555240000750133,0.15571812000975171,0.0,0.95,0.5555524000075014,0.15571812000975171,0.0,0.95,0.5105524000075014,0.17571812000975173,0.0,0.95,0.5305524000075014,0.17571812000975173,0.0,0.95,0.5205524000075014,0.2807181200097517,0.0,0.95,0.5455524000075014,0.2807181200097517,0.0,0.95,0.6700276200003752,0.5502485800033756,0.0,0.95,0.6950276200003752,0.5502485800033756,0.0,0.95,0.7700276200003751,0.7202762000037506,0.0,0.95,0.7950276200003751,0.7202762000037506,0.0,0.95,0.7700276200003751,0.7202762000037506,0.0,0.95,0.7950276200003751,0.7202762000037506,0.0,0.95,0.7700276200003751,0.7202762000037506,0.0,0.95,0.7950276200003751,0.7202762000037506,0.0,0.95,0.7700276200003751,0.7202762000037506,0.0,0.95,0.7950276200003751,0.7202762000037506,0.0,0.95,0.5197514199966244,0.5002762000037506,0.0,0.95,0.5447514199966245,0.5002762000037506,0.0,0.95,0.5499171399988748,0.68,0.0,0.95,0.5749171399988748,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
3,0.1,1.0,0.5312414687230331,0.16161390933994307,0.0,0.95,0.5112414687230331,0.14661390933994306,0.0,0.95,0.5062414687230331,0.14661390933994306,0.0,0.95,0.5012414687230331,0.14661390933994306,0.0,0.95,0.5312414687230331,0.14661390933994306,0.0,0.95,0.5362414687230331,0.14661390933994306,0.0,0.95,0.5412414687230331,0.14661390933994306,0.0,0.95,0.4862414687230331,0.15661390933994307,0.0,0.95,0.5562414687230332,0.15661390933994307,0.0,0.95,0.5112414687230331,0.1766139093399431,0.0,0.95,0.5312414687230331,0.1766139093399431,0.0,0.95,0.5212414687230331,0.28161390933994307,0.0,0.95,0.5462414687230331,0.28161390933994307,0.0,0.95,0.6700620734361517,0.550558660925365,0.0,0.95,0.6950620734361517,0.550558660925365,0.0,0.95,0.7700620734361516,0.7206207343615165,0.0,0.95,0.7950620734361517,0.7206207343615165,0.0,0.95,0.7700620734361516,0.7206207343615165,0.0,0.95,0.7950620734361517,0.7206207343615165,0.0,0.95,0.7700620734361516,0.7206207343615165,0.0,0.95,0.7950620734361517,0.7206207343615165,0.0,0.95,0.7700620734361516,0.7206207343615165,0.0,0.95,0.7950620734361517,0.7206207343615165,0.0,0.95,0.5194413390746351,0.5006207343615166,0.0,0.95,0.5444413390746351,0.5006207343615166,0.0,0.95,0.5498137796915451,0.68,0.0,0.95,0.5748137796915451,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
4,0.13333333333333333,1.0,0.5322034971146394,0.1628645462490313,0.0,0.95,0.5122034971146394,0.14786454624903128,0.0,0.95,0.5072034971146394,0.14786454624903128,0.0,0.95,0.5022034971146394,0.14786454624903128,0.0,0.95,0.5322034971146394,0.14786454624903128,0.0,0.95,0.5372034971146394,0.14786454624903128,0.0,0.95,0.5422034971146394,0.14786454624903128,0.0,0.95,0.4872034971146394,0.1578645462490313,0.0,0.95,0.5572034971146395,0.1578645462490313,0.0,0.95,0.5122034971146394,0.1778645462490313,0.0,0.95,0.5322034971146394,0.1778645462490313,0.0,0.95,0.5222034971146394,0.2828645462490313,0.0,0.95,0.5472034971146394,0.2828645462490313,0.0,0.95,0.670110174855732,0.5509915737015877,0.0,0.95,0.695110174855732,0.5509915737015877,0.0,0.95,0.770110174855732,0.7211017485573197,0.0,0.95,0.795110174855732,0.7211017485573197,0.0,0.95,0.770110174855732,0.7211017485573197,0.0,0.95,0.795110174855732,0.7211017485573197,0.0,0.95,0.770110174855732,0.7211017485573197,0.0,0.95,0.795110174855732,0.7211017485573197,0.0,0.95,0.770110174855732,0.7211017485573197,0.0,0.95,0.795110174855732,0.7211017485573197,0.0,0.95,0.5190084262984123,0.5011017485573197,0.0,0.95,0.5440084262984123,0.5011017485573197,0.0,0.95,0.5496694754328041,0.68,0.0,0.95,0.5746694754328041,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
5,0.16666666666666666,1.0,0.5334358262225853,0.164466574089361,0.0,0.95,0.5134358262225853,0.14946657408936098,0.0,0.95,0.5084358262225853,0.14946657408936098,0.0,0.95,0.5034358262225853,0.14946657408936098,0.0,0.95,0.5334358262225853,0.14946657408936098,0.0,0.95,0.5384358262225853,0.14946657408936098,0.0,0.95,0.5434358262225853,0.14946657408936098,0.0,0.95,0.4884358262225853,0.159466574089361,0.0,0.95,0.5584358262225854,0.159466574089361,0.0,0.95,0.5134358262225853,0.179466574089361,0.0,0.95,0.5334358262225853,0.179466574089361,0.0,0.95,0.5234358262225853,0.284466574089361,0.0,0.95,0.5484358262225854,0.284466574089361,0.0,0.95,0.6701717913111293,0.5515461218001634,0.0,0.95,0.6951717913111293,0.5515461218001634,0.0,0.95,0.7701717913111292,0.7217179131112926,0.0,0.95,0.7951717913111293,0.7217179131112926,0.0,0.95,0.7701717913111292,0.7217179131112926,0.0,0.95,0.7951717913111293,0.7217179131112926,0.0,0.95,0.7701717913111292,0.7217179131112926,0.0,0.95,0.7951717913111293,0.7217179131112926,0.0,0.95,0.7701717913111292,0.7217179131112926,0.0,0.95,0.7951717913111293,0.7217179131112926,0.0,0.95,0.5184538781998367,0.5017179131112927,0.0,0.95,0.5434538781998367,0.5017179131112927,0.0,0.95,0.5494846260666122,0.68,0.0,0.95,0.5744846260666122,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
6,0.2,1.0,0.534935050000327,0.16641556500042515,0.0,0.95,0.514935050000327,0.15141556500042513,0.0,0.95,0.509935050000327,0.15141556500042513,0.0,0.95,0.504935050000327,0.15141556500042513,0.0,0.95,0.534935050000327,0.15141556500042513,0.0,0.95,0.539935050000327,0.15141556500042513,0.0,0.95,0.544935050000327,0.15141556500042513,0.0,0.95,0.489935050000327,0.16141556500042514,0.0,0.95,0.5599350500003271,0.16141556500042514,0.0,0.95,0.514935050000327,0.18141556500042516,0.0,0.95,0.534935050000327,0.18141556500042516,0.0,0.95,0.524935050000327,0.28641556500042514,0.0,0.95,0.549935050000327,0.28641556500042514,0.0,0.95,0.6702467525000164,0.5522207725001472,0.0,0.95,0.6952467525000164,0.5522207725001472,0.0,0.95,0.7702467525000163,0.7224675250001634,0.0,0.95,0.7952467525000163,0.7224675250001634,0.0,0.95,0.7702467525000163,0.7224675250001634,0.0,0.95,0.7952467525000163,0.7224675250001634,0.0,0.95,0.7702467525000163,0.7224675250001634,0.0,0.95,0.7952467525000163,0.7224675250001634,0.0,0.95,0.7702467525000163,0.7224675250001634,0.0,0.95,0.7952467525000163,0.7224675250001634,0.0,0.95,0.5177792274998528,0.5024675250001636,0.0,0.95,0.5427792274998529,0.5024675250001636,0.0,0.95,0.549259742499951,0.68,0.0,0.95,0.574259742499951,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
7,0.23333333333333334,1.0,0.5366970247285175,0.1687061321470728,0.0,0.95,0.5166970247285175,0.1537061321470728,0.0,0.95,0.5116970247285175,0.1537061321470728,0.0,0.95,0.5066970247285175,0.1537061321470728,0.0,0.95,0.5366970247285175,0.1537061321470728,0.0,0.95,0.5416970247285176,0.1537061321470728,0.0,0.95,0.5466970247285176,0.1537061321470728,0.0,0.95,0.4916970247285175,0.1637061321470728,0.0,0.95,0.5616970247285176,0.1637061321470728,0.0,0.95,0.5166970247285175,0.18370613214707282,0.0,0.95,0.5366970247285175,0.18370613214707282,0.0,0.95,0.5266970247285175,0.2887061321470728,0.0,0.95,0.5516970247285176,0.2887061321470728,0.0,0.95,0.670334851236426,0.553013661127833,0.0,0.95,0.695334851236426,0.553013661127833,0.0,0.95,0.7703348512364259,0.7233485123642587,0.0,0.95,0.7953348512364259,0.7233485123642587,0.0,0.95,0.7703348512364259,0.7233485123642587,0.0,0.95,0.7953348512364259,0.7233485123642587,0.0,0.95,0.7703348512364259,0.7233485123642587,0.0,0.95,0.7953348512364259,0.7233485123642587,0.0,0.95,0.7703348512364259,0.7233485123642587,0.0,0.95,0.7953348512364259,0.7233485123642587,0.0,0.95,0.516986338872167,0.5033485123642588,0.0,0.95,0.5419863388721671,0.5033485123642588,0.0,0.95,0.5489954462907225,0.68,0.0,0.95,0.5739954462907225,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
8,0.26666666666666666,1.0,0.5387168804678732,0.17133194460823525,0.0,0.95,0.5187168804678732,0.15633194460823524,0.0,0.95,0.5137168804678732,0.15633194460823524,0.0,0.95,0.5087168804678732,0.15633194460823524,0.0,0.95,0.5387168804678732,0.15633194460823524,0.0,0.95,0.5437168804678733,0.15633194460823524,0.0,0.95,0.5487168804678733,0.15633194460823524,0.0,0.95,0.4937168804678732,0.16633194460823525,0.0,0.95,0.5637168804678733,0.16633194460823525,0.0,0.95,0.5187168804678732,0.18633194460823527,0.0,0.95,0.5387168804678732,0.18633194460823527,0.0,0.95,0.5287168804678732,0.29133194460823525,0.0,0.95,0.5537168804678733,0.29133194460823525,0.0,0.95,0.6704358440233937,0.553922596210543,0.0,0.95,0.6954358440233938,0.553922596210543,0.0,0.95,0.7704358440233937,0.7243584402339366,0.0,0.95,0.7954358440233937,0.7243584402339366,0.0,0.95,0.7704358440233937,0.7243584402339366,0.0,0.95,0.7954358440233937,0.7243584402339366,0.0,0.95,0.7704358440233937,0.7243584402339366,0.0,0.95,0.7954358440233937,0.7243584402339366,0.0,0.95,0.7704358440233937,0.7243584402339366,0.0,0.95,0.7954358440233937,0.7243584402339366,0.0,0.95,0.5160774037894571,0.5043584402339366,0.0,0.95,0.5410774037894571,0.5043584402339366,0.0,0.95,0.548692467929819,0.68,0.0,0.95,0.573692467929819,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
9,0.3,1.0,0.540989034519247,0.17428574487502108,0.0,0.95,0.5209890345192469,0.15928574487502106,0.0,0.95,0.5159890345192469,0.15928574487502106,0.0,0.95,0.5109890345192469,0.15928574487502106,0.0,0.95,0.540989034519247,0.15928574487502106,0.0,0.95,0.545989034519247,0.15928574487502106,0.0,0.95,0.550989034519247,0.15928574487502106,0.0,0.95,0.4959890345192469,0.16928574487502107,0.0,0.95,0.565989034519247,0.16928574487502107,0.0,0.95,0.5209890345192469,0.1892857448750211,0.0,0.95,0.540989034519247,0.1892857448750211,0.0,0.95,0.530989034519247,0.29428574487502107,0.0,0.95,0.555989034519247,0.29428574487502107,0.0,0.95,0.6705494517259624,0.5549450655336611,0.0,0.95,0.6955494517259624,0.5549450655336611,0.0,0.95,0.7705494517259623,0.7254945172596234,0.0,0.95,0.7955494517259624,0.7254945172596234,0.0,0.95,0.7705494517259623,0.7254945172596234,0.0,0.95,0.7955494517259624,0.7254945172596234,0.0,0.95,0.7705494517259623,0.7254945172596234,0.0,0.95,0.7955494517259624,0.7254945172596234,0.0,0.95,0.7705494517259623,0.7254945172596234,0.0,0.95,0.7955494517259624,0.7254945172596234,0.0,0.95,0.5150549344663389,0.5054945172596235,0.0,0.95,0.5400549344663389,0.5054945172596235,0.0,0.95,0.548351644822113,0.68,0.0,0.95,0.573351644822113,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
