frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.53,0.16000000000000003,0.0,0.95,0.51,0.14500000000000002,0.0,0.95,0.505,0.14500000000000002,0.0,0.95,0.5,0.14500000000000002,0.0,0.95,0.53,0.14500000000000002,0.0,0.95,0.535,0.14500000000000002,0.0,0.95,0.54,0.14500000000000002,0.0,0.95,0.485,0.15500000000000003,0.0,0.95,0.555,0.15500000000000003,0.0,0.95,0.51,0.17500000000000004,0.0,0.95,0.53,0.17500000000000004,0.0,0.95,0.52,0.28,0.0,0.95,0.545,0.28,0.0,0.95,0.55,0.55,0.0,0.95,0.5750000000000001,0.55,0.0,0.95,0.56,0.72,0.0,0.95,0.5850000000000001,0.72,0.0,0.95,0.56,0.72,0.0,0.95,0.5850000000000001,0.72,0.0,0.95,0.56,0.72,0.0,0.95,0.5850000000000001,0.72,0.0,0.95,0.56,0.72,0.0,0.95,0.5850000000000001,0.72,0.0,0.95,0.52,0.5,0.0,0.95,0.545,0.5,0.0,0.95,0.55,0.68,0.0,0.95,0.5750000000000001,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
1,0.03333333333333333,1.0,0.5300829172951071,0.16011746616806843,0.0,0.95,0.5100829172951071,0.14511746616806842,0.0,0.95,0.5050829172951071,0.14511746616806842,0.0,0.95,0.5000829172951071,0.14511746616806842,0.0,0.95,0.5300829172951071,0.14511746616806842,0.0,0.95,0.5350829172951072,0.14511746616806842,0.0,0.95,0.5400829172951072,0.14511746616806842,0.0,0.95,0.4850829172951071,0.15511746616806843,0.0,0.95,0.5550829172951072,0.15511746616806843,0.0,0.95,0.5100829172951071,0.17511746616806845,0.0,0.95,0.5300829172951071,0.17511746616806845,0.0,0.95,0.5200829172951071,0.28011746616806843,0.0,0.95,0.5450829172951072,0.28011746616806843,0.0,0.95,0.5500345488729613,0.5500483684221458,0.0,0.95,0.5750345488729613,0.5500483684221458,0.0,0.95,0.56,0.7200552781967381,0.0,0.95,0.5850000000000001,0.7200552781967381,0.0,0.95,0.56,0.7200552781967381,0.0,0.95,0.5850000000000001,0.7200552781967381,0.0,0.95,0.56,0.7200552781967381,0.0,0.95,0.5850000000000001,0.7200552781967381,0.0,0.95,0.56,0.7200552781967381,0.0,0.95,0.5850000000000001,0.7200552781967381,0.0,0.95,0.5199378120286697,0.500055278196738,0.0,0.95,0.5449378120286698,0.500055278196738,0.0,0.95,0.5499792706762232,0.68,0.0,0.95,0.5749792706762232,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
2,0.06666666666666667,1.0,0.5303314400045008,0.16046954000637614,0.0,0.95,0.5103314400045008,0.14546954000637613,0.0,0.95,0.5053314400045008,0.14546954000637613,0.0,0.95,0.5003314400045008,0.14546954000637613,0.0,0.95,0.5303314400045008,0.14546954000637613,0.0,0.95,0.5353314400045008,0.14546954000637613,0.0,0.95,0.5403314400045008,0.14546954000637613,0.0,0.95,0.4853314400045008,0.15546954000637614,0.0,0.95,0.5553314400045009,0.15546954000637614,0.0,0.95,0.5103314400045008,0.17546954000637616,0.0,0.95,0.5303314400045008,0.17546954000637616,0.0,0.95,0.5203314400045008,0.28046954000637614,0.0,0.95,0.5453314400045008,0.28046954000637614,0.0,0.95,0.5501381000018754,0.5501933400026254,0.0,0.95,0.5751381000018754,0.5501933400026254,0.0,0.95,0.56,0.7202209600030004,0.0,0.95,0.5850000000000001,0.7202209600030004,0.0,0.95,0.56,0.7202209600030004,0.0,0.95,0.5850000000000001,0.7202209600030004,0.0,0.95,0.56,0.7202209600030004,0.0,0.95,0.5850000000000001,0.7202209600030004,0.0,0.95,0.56,0.7202209600030004,0.0,0.95,0.5850000000000001,0.7202209600030004,0.0,0.95,0.5197514199966244,0.5002209600030005,0.0,0.95,0.5447514199966245,0.5002209600030005,0.0,0.95,0.5499171399988748,0.68,0.0,0.95,0.5749171399988748,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
3,0.1,1.0,0.5307448812338199,0.1610552484145782,0.0,0.95,0.5107448812338199,0.14605524841457818,0.0,0.95,0.5057448812338199,0.14605524841457818,0.0,0.95,0.5007448812338199,0.14605524841457818,0.0,0.95,0.5307448812338199,0.14605524841457818,0.0,0.95,0.5357448812338199,0.14605524841457818,0.0,0.95,0.5407448812338199,0.14605524841457818,0.0,0.95,0.48574488123381987,0.15605524841457818,0.0,0.95,0.5557448812338199,0.15605524841457818,0.0,0.95,0.5107448812338199,0.1760552484145782,0.0,0.95,0.5307448812338199,0.1760552484145782,0.0,0.95,0.5207448812338199,0.2810552484145782,0.0,0.95,0.5457448812338199,0.2810552484145782,0.0,0.95,0.5503103671807583,0.5504345140530617,0.0,0.95,0.5753103671807583,0.5504345140530617,0.0,0.95,0.56,0.7204965874892132,0.0,0.95,0.5850000000000001,0.7204965874892132,0.0,0.95,0.56,0.7204965874892132,0.0,0.95,0.5850000000000001,0.7204965874892132,0.0,0.95,0.56,0.7204965874892132,0.0,0.95,0.5850000000000001,0.7204965874892132,0.0,0.95,0.56,0.7204965874892132,0.0,0.95,0.5850000000000001,0.7204965874892132,0.0,0.95,0.5194413390746351,0.5004965874892132,0.0,0.95,0.5444413390746351,0.5004965874892132,0.0,0.95,0.5498137796915451,0.68,0.0,0.95,0.5748137796915451,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
4,0.13333333333333333,1.0,0.5313220982687836,0.16187297254744354,0.0,0.95,0.5113220982687836,0.14687297254744353,0.0,0.95,0.5063220982687836,0.14687297254744353,0.0,0.95,0.5013220982687836,0.14687297254744353,0.0,0.95,0.5313220982687836,0.14687297254744353,0.0,0.95,0.5363220982687836,0.14687297254744353,0.0,0.95,0.5413220982687836,0.14687297254744353,0.0,0.95,0.4863220982687836,0.15687297254744353,0.0,0.95,0.5563220982687836,0.15687297254744353,0.0,0.95,0.5113220982687836,0.17687297254744355,0.0,0.95,0.5313220982687836,0.17687297254744355,0.0,0.95,0.5213220982687836,0.28187297254744353,0.0,0.95,0.5463220982687836,0.28187297254744353,0.0,0.95,0.5505508742786599,0.5507712239901238,0.0,0.95,0.5755508742786599,0.5507712239901238,0.0,0.95,0.56,0.7208813988458558,0.0,0.95,0.5850000000000001,0.7208813988458558,0.0,0.95,0.56,0.7208813988458558,0.0,0.95,0.5850000000000001,0.7208813988458558,0.0,0.95,0.56,0.7208813988458558,0.0,0.95,0.5850000000000001,0.7208813988458558,0.0,0.95,0.56,0.7208813988458558,0.0,0.95,0.5850000000000001,0.7208813988458558,0.0,0.95,0.5190084262984123,0.5008813988458558,0.0,0.95,0.5440084262984123,0.5008813988458558,0.0,0.95,0.5496694754328041,0.68,0.0,0.95,0.5746694754328041,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
5,0.16666666666666666,1.0,0.5320614957335512,0.16292045228919755,0.0,0.95,0.5120614957335512,0.14792045228919753,0.0,0.95,0.5070614957335512,0.14792045228919753,0.0,0.95,0.5020614957335512,0.14792045228919753,0.0,0.95,0.5320614957335512,0.14792045228919753,0.0,0.95,0.5370614957335512,0.14792045228919753,0.0,0.95,0.5420614957335512,0.14792045228919753,0.0,0.95,0.4870614957335512,0.15792045228919754,0.0,0.95,0.5570614957335512,0.15792045228919754,0.0,0.95,0.5120614957335512,0.17792045228919756,0.0,0.95,0.5320614957335512,0.17792045228919756,0.0,0.95,0.5220614957335512,0.28292045228919754,0.0,0.95,0.5470614957335512,0.28292045228919754,0.0,0.95,0.5508589565556463,0.5512025391779048,0.0,0.95,0.5758589565556463,0.5512025391779048,0.0,0.95,0.56,0.7213743304890341,0.0,0.95,0.5850000000000001,0.7213743304890341,0.0,0.95,0.56,0.7213743304890341,0.0,0.95,0.5850000000000001,0.7213743304890341,0.0,0.95,0.56,0.7213743304890341,0.0,0.95,0.5850000000000001,0.7213743304890341,0.0,0.95,0.56,0.7213743304890341,0.0,0.95,0.5850000000000001,0.7213743304890341,0.0,0.95,0.5184538781998367,0.5013743304890341,0.0,0.95,0.5434538781998367,0.5013743304890341,0.0,0.95,0.5494846260666122,0.68,0.0,0.95,0.5744846260666122,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
6,0.2,1.0,0.5329610300001962,0.16419479250027796,0.0,0.95,0.5129610300001962,0.14919479250027795,0.0,0.95,0.5079610300001962,0.14919479250027795,0.0,0.95,0.5029610300001962,0.14919479250027795,0.0,0.95,0.5329610300001962,0.14919479250027795,0.0,0.95,0.5379610300001962,0.14919479250027795,0.0,0.95,0.5429610300001962,0.14919479250027795,0.0,0.95,0.4879610300001962,0.15919479250027796,0.0,0.95,0.5579610300001963,0.15919479250027796,0.0,0.95,0.5129610300001962,0.17919479250027798,0.0,0.95,0.5329610300001962,0.17919479250027798,0.0,0.95,0.5229610300001962,0.28419479250027796,0.0,0.95,0.5479610300001962,0.28419479250027796,0.0,0.95,0.5512337625000818,0.5517272675001145,0.0,0.95,0.5762337625000818,0.5517272675001145,0.0,0.95,0.56,0.7219740200001308,0.0,0.95,0.5850000000000001,0.7219740200001308,0.0,0.95,0.56,0.7219740200001308,0.0,0.95,0.5850000000000001,0.7219740200001308,0.0,0.95,0.56,0.7219740200001308,0.0,0.95,0.5850000000000001,0.7219740200001308,0.0,0.95,0.56,0.7219740200001308,0.0,0.95,0.5850000000000001,0.7219740200001308,0.0,0.95,0.5177792274998528,0.5019740200001308,0.0,0.95,0.5427792274998529,0.5019740200001308,0.0,0.95,0.549259742499951,0.68,0.0,0.95,0.574259742499951,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
7,0.23333333333333334,1.0,0.5340182148371105,0.1656924710192399,0.0,0.95,0.5140182148371105,0.15069247101923988,0.0,0.95,0.5090182148371105,0.15069247101923988,0.0,0.95,0.5040182148371105,0.15069247101923988,0.0,0.95,0.5340182148371105,0.15069247101923988,0.0,0.95,0.5390182148371105,0.15069247101923988,0.0,0.95,0.5440182148371105,0.15069247101923988,0.0,0.95,0.4890182148371105,0.1606924710192399,0.0,0.95,0.5590182148371106,0.1606924710192399,0.0,0.95,0.5140182148371105,0.1806924710192399,0.0,0.95,0.5340182148371105,0.1806924710192399,0.0,0.95,0.5240182148371105,0.2856924710192399,0.0,0.95,0.5490182148371106,0.2856924710192399,0.0,0.95,0.5516742561821295,0.5523439586549812,0.0,0.95,0.5766742561821295,0.5523439586549812,0.0,0.95,0.56,0.722678809891407,0.0,0.95,0.5850000000000001,0.722678809891407,0.0,0.95,0.56,0.722678809891407,0.0,0.95,0.5850000000000001,0.722678809891407,0.0,0.95,0.56,0.722678809891407,0.0,0.95,0.5850000000000001,0.722678809891407,0.0,0.95,0.56,0.722678809891407,0.0,0.95,0.5850000000000001,0.722678809891407,0.0,0.95,0.516986338872167,0.502678809891407,0.0,0.95,0.5419863388721671,0.502678809891407,0.0,0.95,0.5489954462907225,0.68,0.0,0.95,0.5739954462907225,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
8,0.26666666666666666,1.0,0.5352301282807239,0.16740934839769228,0.0,0.95,0.5152301282807239,0.15240934839769227,0.0,0.95,0.5102301282807239,0.15240934839769227,0.0,0.95,0.5052301282807239,0.15240934839769227,0.0,0.95,0.5352301282807239,0.15240934839769227,0.0,0.95,0.5402301282807239,0.15240934839769227,0.0,0.95,0.5452301282807239,0.15240934839769227,0.0,0.95,0.4902301282807239,0.16240934839769228,0.0,0.95,0.5602301282807239,0.16240934839769228,0.0,0.95,0.5152301282807239,0.1824093483976923,0.0,0.95,0.5352301282807239,0.1824093483976923,0.0,0.95,0.5252301282807239,0.2874093483976923,0.0,0.95,0.5502301282807239,0.2874093483976923,0.0,0.95,0.5521792201169683,0.5530509081637556,0.0,0.95,0.5771792201169683,0.5530509081637556,0.0,0.95,0.56,0.7234867521871493,0.0,0.95,0.5850000000000001,0.7234867521871493,0.0,0.95,0.56,0.7234867521871493,0.0,0.95,0.5850000000000001,0.7234867521871493,0.0,0.95,0.56,0.7234867521871493,0.0,0.95,0.5850000000000001,0.7234867521871493,0.0,0.95,0.56,0.7234867521871493,0.0,0.95,0.5850000000000001,0.7234867521871493,0.0,0.95,0.5160774037894571,0.5034867521871493,0.0,0.95,0.5410774037894571,0.5034867521871493,0.0,0.95,0.548692467929819,0.68,0.0,0.95,0.573692467929819,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
9,0.3,1.0,0.5365934207115481,0.16934067934135993,0.0,0.95,0.5165934207115481,0.15434067934135992,0.0,0.95,0.5115934207115481,0.15434067934135992,0.0,0.95,0.5065934207115481,0.15434067934135992,0.0,0.95,0.5365934207115481,0.15434067934135992,0.0,0.95,0.5415934207115481,0.15434067934135992,0.0,0.95,0.5465934207115482,0.15434067934135992,0.0,0.95,0.4915934207115481,0.16434067934135993,0.0,0.95,0.5615934207115482,0.16434067934135993,0.0,0.95,0.5165934207115481,0.18434067934135995,0.0,0.95,0.5365934207115481,0.18434067934135995,0.0,0.95,0.5265934207115481,0.28934067934135993,0.0,0.95,0.5515934207115482,0.28934067934135993,0.0,0.95,0.5527472586298118,0.5538461620817364,0.0,0.95,0.5777472586298118,0.5538461620817364,0.0,0.95,0.56,0.7243956138076988,0.0,0.95,0.5850000000000001,0.7243956138076988,0.0,0.95,0.56,0.7243956138076988,0.0,0.95,0.5850000000000001,0.7243956138076988,0.0,0.95,0.56,0.7243956138076988,0.0,0.95,0.5850000000000001,0.7243956138076988,0.0,0.95,0.56,0.7243956138076988,0.0,0.95,0.5850000000000001,0.7243956138076988,0.0,0.95,0.5150549344663389,0.5043956138076988,0.0,0.95,0.5400549344663389,0.5043956138076988,0.0,0.95,0.548351644822113,0.68,0.0,0.95,0.573351644822113,0.68,0.0,0.95,0.56,0.86,0.0,0.95,0.5850000000000001,0.86,0.0,0.95,0.53,0.88,0.0,0.95,0.555,0.88,0.0,0.95,0.6100000000000001,0.88,0.0,0.95,0.6350000000000001,0.88,0.0,0.95
