frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.51,0.16000000000000003,0.0,0.95,0.49,0.14500000000000002,0.0,0.95,0.485,0.14500000000000002,0.0,0.95,0.48,0.14500000000000002,0.0,0.95,0.51,0.14500000000000002,0.0,0.95,0.515,0.14500000000000002,0.0,0.95,0.52,0.14500000000000002,0.0,0.95,0.46499999999999997,0.15500000000000003,0.0,0.95,0.535,0.15500000000000003,0.0,0.95,0.49,0.17500000000000004,0.0,0.95,0.51,0.17500000000000004,0.0,0.95,0.5,0.28,0.0,0.95,0.525,0.28,0.0,0.95,0.45,0.34,0.0,0.95,0.47500000000000003,0.34,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.5,0.48,0.0,0.95,0.525,0.48,0.0,0.95,0.55,0.67,0.0,0.95,0.5750000000000001,0.67,0.0,0.95,0.56,0.84,0.0,0.95,0.5850000000000001,0.84,0.0,0.95,0.53,0.86,0.0,0.95,0.555,0.86,0.0,0.95,0.6100000000000001,0.86,0.0,0.95,0.6350000000000001,0.86,0.0,0.95
1,0.03333333333333333,1.0,0.51,0.16006909774592265,0.0,0.95,0.49,0.14506909774592264,0.0,0.95,0.485,0.14506909774592264,0.0,0.95,0.48,0.14506909774592264,0.0,0.95,0.51,0.14506909774592264,0.0,0.95,0.515,0.14506909774592264,0.0,0.95,0.52,0.14506909774592264,0.0,0.95,0.46499999999999997,0.15506909774592265,0.0,0.95,0.535,0.15506909774592265,0.0,0.95,0.49,0.17506909774592266,0.0,0.95,0.51,0.17506909774592266,0.0,0.95,0.5,0.28006909774592265,0.0,0.95,0.525,0.28006909774592265,0.0,0.95,0.45,0.3400552781967381,0.0,0.95,0.47500000000000003,0.3400552781967381,0.0,0.95,0.4,0.30005527819673805,0.0,0.95,0.42500000000000004,0.30005527819673805,0.0,0.95,0.4,0.30005527819673805,0.0,0.95,0.42500000000000004,0.30005527819673805,0.0,0.95,0.4,0.30005527819673805,0.0,0.95,0.42500000000000004,0.30005527819673805,0.0,0.95,0.4,0.30005527819673805,0.0,0.95,0.42500000000000004,0.30005527819673805,0.0,0.95,0.4999792706762232,0.48008291729510705,0.0,0.95,0.5249792706762232,0.48008291729510705,0.0,0.95,0.55,0.6700207293237769,0.0,0.95,0.5750000000000001,0.6700207293237769,0.0,0.95,0.5600138195491846,0.8400069097745922,0.0,0.95,0.5850138195491846,0.8400069097745922,0.0,0.95,0.5300138195491846,0.8600069097745923,0.0,0.95,0.5550138195491846,0.8600069097745923,0.0,0.95,0.6100138195491847,0.8600069097745923,0.0,0.95,0.6350138195491847,0.8600069097745923,0.0,0.95
2,0.06666666666666667,1.0,0.51,0.16027620000375065,0.0,0.95,0.49,0.14527620000375063,0.0,0.95,0.485,0.14527620000375063,0.0,0.95,0.48,0.14527620000375063,0.0,0.95,0.51,0.14527620000375063,0.0,0.95,0.515,0.14527620000375063,0.0,0.95,0.52,0.14527620000375063,0.0,0.95,0.46499999999999997,0.15527620000375064,0.0,0.95,0.535,0.15527620000375064,0.0,0.95,0.49,0.17527620000375066,0.0,0.95,0.51,0.17527620000375066,0.0,0.95,0.5,0.28027620000375064,0.0,0.95,0.525,0.28027620000375064,0.0,0.95,0.45,0.3402209600030005,0.0,0.95,0.47500000000000003,0.3402209600030005,0.0,0.95,0.4,0.30022096000300047,0.0,0.95,0.42500000000000004,0.30022096000300047,0.0,0.95,0.4,0.30022096000300047,0.0,0.95,0.42500000000000004,0.30022096000300047,0.0,0.95,0.4,0.30022096000300047,0.0,0.95,0.42500000000000004,0.30022096000300047,0.0,0.95,0.4,0.30022096000300047,0.0,0.95,0.42500000000000004,0.30022096000300047,0.0,0.95,0.4999171399988748,0.4803314400045008,0.0,0.95,0.5249171399988748,0.4803314400045008,0.0,0.95,0.55,0.6700828600011253,0.0,0.95,0.5750000000000001,0.6700828600011253,0.0,0.95,0.5600552400007501,0.8400276200003751,0.0,0.95,0.5850552400007502,0.8400276200003751,0.0,0.95,0.5300552400007501,0.8600276200003751,0.0,0.95,0.5550552400007501,0.8600276200003751,0.0,0.95,0.6100552400007502,0.8600276200003751,0.0,0.95,0.6350552400007502,0.8600276200003751,0.0,0.95
3,0.1,1.0,0.51,0.16062073436151658,0.0,0.95,0.49,0.14562073436151657,0.0,0.95,0.485,0.14562073436151657,0.0,0.95,0.48,0.14562073436151657,0.0,0.95,0.51,0.14562073436151657,0.0,0.95,0.515,0.14562073436151657,0.0,0.95,0.52,0.14562073436151657,0.0,0.95,0.46499999999999997,0.15562073436151658,0.0,0.95,0.535,0.15562073436151658,0.0,0.95,0.49,0.1756207343615166,0.0,0.95,0.51,0.1756207343615166,0.0,0.95,0.5,0.2806207343615166,0.0,0.95,0.525,0.2806207343615166,0.0,0.95,0.45,0.3404965874892133,0.0,0.95,0.47500000000000003,0.3404965874892133,0.0,0.95,0.4,0.3004965874892132,0.0,0.95,0.42500000000000004,0.3004965874892132,0.0,0.95,0.4,0.3004965874892132,0.0,0.95,0.42500000000000004,0.3004965874892132,0.0,0.95,0.4,0.3004965874892132,0.0,0.95,0.42500000000000004,0.3004965874892132,0.0,0.95,0.4,0.3004965874892132,0.0,0.95,0.42500000000000004,0.3004965874892132,0.0,0.95,0.49981377969154506,0.48074488123381987,0.0,0.95,0.5248137796915451,0.48074488123381987,0.0,0.95,0.55,0.670186220308455,0.0,0.95,0.5750000000000001,0.670186220308455,0.0,0.95,0.5601241468723034,0.8400620734361516,0.0,0.95,0.5851241468723034,0.8400620734361516,0.0,0.95,0.5301241468723034,0.8600620734361516,0.0,0.95,0.5551241468723034,0.8600620734361516,0.0,0.95,0.6101241468723034,0.8600620734361516,0.0,0.95,0.6351241468723035,0.8600620734361516,0.0,0.95
4,0.13333333333333333,1.0,0.51,0.16110174855731973,0.0,0.95,0.49,0.14610174855731972,0.0,0.95,0.485,0.14610174855731972,0.0,0.95,0.48,0.14610174855731972,0.0,0.95,0.51,0.14610174855731972,0.0,0.95,0.515,0.14610174855731972,0.0,0.95,0.52,0.14610174855731972,0.0,0.95,0.46499999999999997,0.15610174855731973,0.0,0.95,0.535,0.15610174855731973,0.0,0.95,0.49,0.17610174855731975,0.0,0.95,0.51,0.17610174855731975,0.0,0.95,0.5,0.28110174855731973,0.0,0.95,0.525,0.28110174855731973,0.0,0.95,0.45,0.34088139884585583,0.0,0.95,0.47500000000000003,0.34088139884585583,0.0,0.95,0.4,0.30088139884585574,0.0,0.95,0.42500000000000004,0.30088139884585574,0.0,0.95,0.4,0.30088139884585574,0.0,0.95,0.42500000000000004,0.30088139884585574,0.0,0.95,0.4,0.30088139884585574,0.0,0.95,0.42500000000000004,0.30088139884585574,0.0,0.95,0.4,0.30088139884585574,0.0,0.95,0.42500000000000004,0.30088139884585574,0.0,0.95,0.4996694754328041,0.48132209826878364,0.0,0.95,0.5246694754328041,0.48132209826878364,0.0,0.95,0.55,0.670330524567196,0.0,0.95,0.5750000000000001,0.670330524567196,0.0,0.95,0.560220349711464,0.8401101748557319,0.0,0.95,0.585220349711464,0.8401101748557319,0.0,0.95,0.5302203497114639,0.8601101748557319,0.0,0.95,0.555220349711464,0.8601101748557319,0.0,0.95,0.610220349711464,0.8601101748557319,0.0,0.95,0.635220349711464,0.8601101748557319,0.0,0.95
5,0.16666666666666666,1.0,0.51,0.1617179131112927,0.0,0.95,0.49,0.14671791311129267,0.0,0.95,0.485,0.14671791311129267,0.0,0.95,0.48,0.14671791311129267,0.0,0.95,0.51,0.14671791311129267,0.0,0.95,0.515,0.14671791311129267,0.0,0.95,0.52,0.14671791311129267,0.0,0.95,0.46499999999999997,0.15671791311129268,0.0,0.95,0.535,0.15671791311129268,0.0,0.95,0.49,0.1767179131112927,0.0,0.95,0.51,0.1767179131112927,0.0,0.95,0.5,0.2817179131112927,0.0,0.95,0.525,0.2817179131112927,0.0,0.95,0.45,0.34137433048903415,0.0,0.95,0.47500000000000003,0.34137433048903415,0.0,0.95,0.4,0.3013743304890341,0.0,0.95,0.42500000000000004,0.3013743304890341,0.0,0.95,0.4,0.3013743304890341,0.0,0.95,0.42500000000000004,0.3013743304890341,0.0,0.95,0.4,0.3013743304890341,0.0,0.95,0.42500000000000004,0.3013743304890341,0.0,0.95,0.4,0.3013743304890341,0.0,0.95,0.42500000000000004,0.3013743304890341,0.0,0.95,0.4994846260666122,0.4820614957335512,0.0,0.95,0.5244846260666122,0.4820614957335512,0.0,0.95,0.55,0.6705153739333878,0.0,0.95,0.5750000000000001,0.6705153739333878,0.0,0.95,0.5603435826222586,0.8401717913111293,0.0,0.95,0.5853435826222586,0.8401717913111293,0.0,0.95,0.5303435826222586,0.8601717913111293,0.0,0.95,0.5553435826222586,0.8601717913111293,0.0,0.95,0.6103435826222586,0.8601717913111293,0.0,0.95,0.6353435826222587,0.8601717913111293,0.0,0.95
6,0.2,1.0,0.51,0.16246752500016354,0.0,0.95,0.49,0.14746752500016352,0.0,0.95,0.485,0.14746752500016352,0.0,0.95,0.48,0.14746752500016352,0.0,0.95,0.51,0.14746752500016352,0.0,0.95,0.515,0.14746752500016352,0.0,0.95,0.52,0.14746752500016352,0.0,0.95,0.46499999999999997,0.15746752500016353,0.0,0.95,0.535,0.15746752500016353,0.0,0.95,0.49,0.17746752500016355,0.0,0.95,0.51,0.17746752500016355,0.0,0.95,0.5,0.28246752500016353,0.0,0.95,0.525,0.28246752500016353,0.0,0.95,0.45,0.34197402000013083,0.0,0.95,0.47500000000000003,0.34197402000013083,0.0,0.95,0.4,0.3019740200001308,0.0,0.95,0.42500000000000004,0.3019740200001308,0.0,0.95,0.4,0.3019740200001308,0.0,0.95,0.42500000000000004,0.3019740200001308,0.0,0.95,0.4,0.3019740200001308,0.0,0.95,0.42500000000000004,0.3019740200001308,0.0,0.95,0.4,0.3019740200001308,0.0,0.95,0.42500000000000004,0.3019740200001308,0.0,0.95,0.4992597424999509,0.4829610300001962,0.0,0.95,0.5242597424999509,0.4829610300001962,0.0,0.95,0.55,0.6707402575000491,0.0,0.95,0.5750000000000001,0.6707402575000491,0.0,0.95,0.5604935050000327,0.8402467525000163,0.0,0.95,0.5854935050000327,0.8402467525000163,0.0,0.95,0.5304935050000327,0.8602467525000164,0.0,0.95,0.5554935050000327,0.8602467525000164,0.0,0.95,0.6104935050000327,0.8602467525000164,0.0,0.95,0.6354935050000328,0.8602467525000164,0.0,0.95
7,0.23333333333333334,1.0,0.51,0.1633485123642588,0.0,0.95,0.49,0.14834851236425878,0.0,0.95,0.485,0.14834851236425878,0.0,0.95,0.48,0.14834851236425878,0.0,0.95,0.51,0.14834851236425878,0.0,0.95,0.515,0.14834851236425878,0.0,0.95,0.52,0.14834851236425878,0.0,0.95,0.46499999999999997,0.1583485123642588,0.0,0.95,0.535,0.1583485123642588,0.0,0.95,0.49,0.1783485123642588,0.0,0.95,0.51,0.1783485123642588,0.0,0.95,0.5,0.2833485123642588,0.0,0.95,0.525,0.2833485123642588,0.0,0.95,0.45,0.34267880989140703,0.0,0.95,0.47500000000000003,0.34267880989140703,0.0,0.95,0.4,0.302678809891407,0.0,0.95,0.42500000000000004,0.302678809891407,0.0,0.95,0.4,0.302678809891407,0.0,0.95,0.42500000000000004,0.302678809891407,0.0,0.95,0.4,0.302678809891407,0.0,0.95,0.42500000000000004,0.302678809891407,0.0,0.95,0.4,0.302678809891407,0.0,0.95,0.42500000000000004,0.302678809891407,0.0,0.95,0.49899544629072234,0.4840182148371105,0.0,0.95,0.5239954462907224,0.4840182148371105,0.0,0.95,0.55,0.6710045537092777,0.0,0.95,0.5750000000000001,0.6710045537092777,0.0,0.95,0.5606697024728517,0.8403348512364258,0.0,0.95,0.5856697024728518,0.8403348512364258,0.0,0.95,0.5306697024728517,0.8603348512364258,0.0,0.95,0.5556697024728517,0.8603348512364258,0.0,0.95,0.6106697024728518,0.8603348512364258,0.0,0.95,0.6356697024728518,0.8603348512364258,0.0,0.95
8,0.26666666666666666,1.0,0.51,0.16435844023393664,0.0,0.95,0.49,0.14935844023393663,0.0,0.95,0.485,0.14935844023393663,0.0,0.95,0.48,0.14935844023393663,0.0,0.95,0.51,0.14935844023393663,0.0,0.95,0.515,0.14935844023393663,0.0,0.95,0.52,0.14935844023393663,0.0,0.95,0.46499999999999997,0.15935844023393664,0.0,0.95,0.535,0.15935844023393664,0.0,0.95,0.49,0.17935844023393666,0.0,0.95,0.51,0.17935844023393666,0.0,0.95,0.5,0.28435844023393664,0.0,0.95,0.525,0.28435844023393664,0.0,0.95,0.45,0.3434867521871493,0.0,0.95,0.47500000000000003,0.3434867521871493,0.0,0.95,0.4,0.30348675218714927,0.0,0.95,0.42500000000000004,0.30348675218714927,0.0,0.95,0.4,0.30348675218714927,0.0,0.95,0.42500000000000004,0.30348675218714927,0.0,0.95,0.4,0.30348675218714927,0.0,0.95,0.42500000000000004,0.30348675218714927,0.0,0.95,0.4,0.30348675218714927,0.0,0.95,0.42500000000000004,0.30348675218714927,0.0,0.95,0.498692467929819,0.4852301282807239,0.0,0.95,0.523692467929819,0.4852301282807239,0.0,0.95,0.55,0.671307532070181,0.0,0.95,0.5750000000000001,0.671307532070181,0.0,0.95,0.5608716880467874,0.8404358440233937,0.0,0.95,0.5858716880467875,0.8404358440233937,0.0,0.95,0.5308716880467874,0.8604358440233937,0.0,0.95,0.5558716880467874,0.8604358440233937,0.0,0.95,0.6108716880467875,0.8604358440233937,0.0,0.95,0.6358716880467875,0.8604358440233937,0.0,0.95
9,0.3,1.0,0.51,0.1654945172596235,0.0,0.95,0.49,0.15049451725962348,0.0,0.95,0.485,0.15049451725962348,0.0,0.95,0.48,0.15049451725962348,0.0,0.95,0.51,0.15049451725962348,0.0,0.95,0.515,0.15049451725962348,0.0,0.95,0.52,0.15049451725962348,0.0,0.95,0.46499999999999997,0.1604945172596235,0.0,0.95,0.535,0.1604945172596235,0.0,0.95,0.49,0.1804945172596235,0.0,0.95,0.51,0.1804945172596235,0.0,0.95,0.5,0.2854945172596235,0.0,0.95,0.525,0.2854945172596235,0.0,0.95,0.45,0.34439561380769884,0.0,0.95,0.47500000000000003,0.34439561380769884,0.0,0.95,0.4,0.30439561380769875,0.0,0.95,0.42500000000000004,0.30439561380769875,0.0,0.95,0.4,0.30439561380769875,0.0,0.95,0.42500000000000004,0.30439561380769875,0.0,0.95,0.4,0.30439561380769875,0.0,0.95,0.42500000000000004,0.30439561380769875,0.0,0.95,0.4,0.30439561380769875,0.0,0.95,0.42500000000000004,0.30439561380769875,0.0,0.95,0.49835164482211297,0.48659342071154815,0.0,0.95,0.5233516448221129,0.48659342071154815,0.0,0.95,0.55,0.6716483551778871,0.0,0.95,0.5750000000000001,0.6716483551778871,0.0,0.95,0.5610989034519247,0.8405494517259623,0.0,0.95,0.5860989034519247,0.8405494517259623,0.0,0.95,0.5310989034519247,0.8605494517259623,0.0,0.95,0.5560989034519247,0.8605494517259623,0.0,0.95,0.6110989034519247,0.8605494517259623,0.0,0.95,0.6360989034519248,0.8605494517259623,0.0,0.95
10,0.3333333333333333,1.0,0.51,0.16675360342685264,0.0,0.95,0.49,0.15175360342685262,0.0,0.95,0.485,0.15175360342685262,0.0,0.95,0.48,0.15175360342685262,0.0,0.95,0.51,0.15175360342685262,0.0,0.95,0.515,0.15175360342685262,0.0,0.95,0.52,0.15175360342685262,0.0,0.95,0.46499999999999997,0.16175360342685263,0.0,0.95,0.535,0.16175360342685263,0.0,0.95,0.49,0.18175360342685265,0.0,0.95,0.51,0.18175360342685265,0.0,0.95,0.5,0.28675360342685263,0.0,0.95,0.525,0.28675360342685263,0.0,0.95,0.45,0.34540288274148206,0.0,0.95,0.47500000000000003,0.34540288274148206,0.0,0.95,0.4,0.3054028827414821,0.0,0.95,0.42500000000000004,0.3054028827414821,0.0,0.95,0.4,0.3054028827414821,0.0,0.95,0.42500000000000004,0.3054028827414821,0.0,0.95,0.4,0.3054028827414821,0.0,0.95,0.42500000000000004,0.3054028827414821,0.0,0.95,0.4,0.3054028827414821,0.0,0.95,0.42500000000000004,0.3054028827414821,0.0,0.95,0.4979739189719442,0.4881043241122231,0.0,0.95,0.5229739189719442,0.4881043241122231,0.0,0.95,0.55,0.6720260810280558,0.0,0.95,0.5750000000000001,0.6720260810280558,0.0,0.95,0.5613507206853706,0.8406753603426853,0.0,0.95,0.5863507206853706,0.8406753603426853,0.0,0.95,0.5313507206853706,0.8606753603426853,0.0,0.95,0.5563507206853706,0.8606753603426853,0.0,0.95,0.6113507206853707,0.8606753603426853,0.0,0.95,0.6363507206853707,0.8606753603426853,0.0,0.95
11,0.36666666666666664,1.0,0.51,0.16813221873498085,0.0,0.95,0.49,0.15313221873498084,0.0,0.95,0.485,0.15313221873498084,0.0,0.95,0.48,0.15313221873498084,0.0,0.95,0.51,0.15313221873498084,0.0,0.95,0.515,0.15313221873498084,0.0,0.95,0.52,0.15313221873498084,0.0,0.95,0.46499999999999997,0.16313221873498085,0.0,0.95,0.535,0.16313221873498085,0.0,0.95,0.49,0.18313221873498087,0.0,0.95,0.51,0.18313221873498087,0.0,0.95,0.5,0.28813221873498085,0.0,0.95,0.525,0.28813221873498085,0.0,0.95,0.44999999999999996,0.3465057749879847,0.0,0.95,0.475,0.3465057749879847,0.0,0.95,0.39999999999999997,0.30650577498798465,0.0,0.95,0.425,0.30650577498798465,0.0,0.95,0.39999999999999997,0.30650577498798465,0.0,0.95,0.425,0.30650577498798465,0.0,0.95,0.39999999999999997,0.30650577498798465,0.0,0.95,0.425,0.30650577498798465,0.0,0.95,0.39999999999999997,0.30650577498798465,0.0,0.95,0.425,0.30650577498798465,0.0,0.95,0.4975603343795057,0.48975866248197697,0.0,0.95,0.5225603343795057,0.48975866248197697,0.0,0.95,0.55,0.6724396656204943,0.0,0.95,0.5750000000000001,0.6724396656204943,0.0,0.95,0.5616264437469962,0.8408132218734979,0.0,0.95,0.5866264437469962,0.8408132218734979,0.0,0.95,0.5316264437469962,0.860813221873498,0.0,0.95,0.5566264437469962,0.860813221873498,0.0,0.95,0.6116264437469963,0.860813221873498,0.0,0.95,0.6366264437469963,0.860813221873498,0.0,0.95
12,0.4,1.0,0.51,0.1696265528155968,0.0,0.95,0.49,0.15462655281559678,0.0,0.95,0.485,0.15462655281559678,0.0,0.95,0.48,0.15462655281559678,0.0,0.95,0.51,0.15462655281559678,0.0,0.95,0.515,0.15462655281559678,0.0,0.95,0.52,0.15462655281559678,0.0,0.95,0.46499999999999997,0.1646265528155968,0.0,0.95,0.535,0.1646265528155968,0.0,0.95,0.49,0.1846265528155968,0.0,0.95,0.51,0.1846265528155968,0.0,0.95,0.5,0.2896265528155968,0.0,0.95,0.525,0.2896265528155968,0.0,0.95,0.44999999999999996,0.3477012422524774,0.0,0.95,0.475,0.3477012422524774,0.0,0.95,0.39999999999999997,0.3077012422524774,0.0,0.95,0.425,0.3077012422524774,0.0,0.95,0.39999999999999997,0.3077012422524774,0.0,0.95,0.425,0.3077012422524774,0.0,0.95,0.39999999999999997,0.3077012422524774,0.0,0.95,0.425,0.3077012422524774,0.0,0.95,0.39999999999999997,0.3077012422524774,0.0,0.95,0.425,0.3077012422524774,0.0,0.95,0.49711203415532096,0.4915518633787161,0.0,0.95,0.5221120341553209,0.4915518633787161,0.0,0.95,0.55,0.672887965844679,0.0,0.95,0.5750000000000001,0.672887965844679,0.0,0.95,0.5619253105631193,0.8409626552815596,0.0,0.95,0.5869253105631194,0.8409626552815596,0.0,0.95,0.5319253105631193,0.8609626552815596,0.0,0.95,0.5569253105631193,0.8609626552815596,0.0,0.95,0.6119253105631194,0.8609626552815596,0.0,0.95,0.6369253105631194,0.8609626552815596,0.0,0.95
13,0.43333333333333335,1.0,0.51,0.17123247546403542,0.0,0.95,0.49,0.1562324754640354,0.0,0.95,0.485,0.1562324754640354,0.0,0.95,0.48,0.1562324754640354,0.0,0.95,0.51,0.1562324754640354,0.0,0.95,0.515,0.1562324754640354,0.0,0.95,0.52,0.1562324754640354,0.0,0.95,0.46499999999999997,0.1662324754640354,0.0,0.95,0.535,0.1662324754640354,0.0,0.95,0.49,0.18623247546403543,0.0,0.95,0.51,0.18623247546403543,0.0,0.95,0.5,0.2912324754640354,0.0,0.95,0.525,0.2912324754640354,0.0,0.95,0.45,0.3489859803712283,0.0,0.95,0.47500000000000003,0.3489859803712283,0.0,0.95,0.4,0.3089859803712283,0.0,0.95,0.42500000000000004,0.3089859803712283,0.0,0.95,0.4,0.3089859803712283,0.0,0.95,0.42500000000000004,0.3089859803712283,0.0,0.95,0.4,0.3089859803712283,0.0,0.95,0.42500000000000004,0.3089859803712283,0.0,0.95,0.4,0.3089859803712283,0.0,0.95,0.42500000000000004,0.3089859803712283,0.0,0.95,0.49663025736078936,0.4934789705568424,0.0,0.95,0.5216302573607894,0.4934789705568424,0.0,0.95,0.55,0.6733697426392107,0.0,0.95,0.5750000000000001,0.6733697426392107,0.0,0.95,0.5622464950928071,0.8411232475464036,0.0,0.95,0.5872464950928071,0.8411232475464036,0.0,0.95,0.5322464950928071,0.8611232475464036,0.0,0.95,0.5572464950928071,0.8611232475464036,0.0,0.95,0.6122464950928072,0.8611232475464036,0.0,0.95,0.6372464950928072,0.8611232475464036,0.0,0.95
14,0.4666666666666667,1.0,0.51,0.17294554805489137,0.0,0.95,0.49,0.15794554805489136,0.0,0.95,0.485,0.15794554805489136,0.0,0.95,0.48,0.15794554805489136,0.0,0.95,0.51,0.15794554805489136,0.0,0.95,0.515,0.15794554805489136,0.0,0.95,0.52,0.15794554805489136,0.0,0.95,0.46499999999999997,0.16794554805489137,0.0,0.95,0.535,0.16794554805489137,0.0,0.95,0.49,0.1879455480548914,0.0,0.95,0.51,0.1879455480548914,0.0,0.95,0.5,0.29294554805489137,0.0,0.95,0.525,0.29294554805489137,0.0,0.95,0.45,0.3503564384439131,0.0,0.95,0.47500000000000003,0.3503564384439131,0.0,0.95,0.4,0.31035643844391303,0.0,0.95,0.42500000000000004,0.31035643844391303,0.0,0.95,0.4,0.31035643844391303,0.0,0.95,0.42500000000000004,0.31035643844391303,0.0,0.95,0.4,0.31035643844391303,0.0,0.95,0.42500000000000004,0.31035643844391303,0.0,0.95,0.4,0.31035643844391303,0.0,0.95,0.42500000000000004,0.31035643844391303,0.0,0.95,0.49611633558353263,0.49553465766586957,0.0,0.95,0.5211163355835327,0.49553465766586957,0.0,0.95,0.55,0.6738836644164674,0.0,0.95,0.5750000000000001,0.6738836644164674,0.0,0.95,0.5625891096109783,0.8412945548054891,0.0,0.95,0.5875891096109783,0.8412945548054891,0.0,0.95,0.5325891096109783,0.8612945548054891,0.0,0.95,0.5575891096109783,0.8612945548054891,0.0,0.95,0.6125891096109783,0.8612945548054891,0.0,0.95,0.6375891096109784,0.8612945548054891,0.0,0.95
