frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.51,0.18,0.0,0.95,0.49,0.16499999999999998,0.0,0.95,0.485,0.16499999999999998,0.0,0.95,0.48,0.16499999999999998,0.0,0.95,0.51,0.16499999999999998,0.0,0.95,0.515,0.16499999999999998,0.0,0.95,0.52,0.16499999999999998,0.0,0.95,0.46499999999999997,0.175,0.0,0.95,0.535,0.175,0.0,0.95,0.49,0.195,0.0,0.95,0.51,0.195,0.0,0.95,0.5,0.3,0.0,0.95,0.525,0.3,0.0,0.95,0.47,0.37,0.0,0.95,0.495,0.37,0.0,0.95,0.43,0.33,0.0,0.95,0.455,0.33,0.0,0.95,0.43,0.33,0.0,0.95,0.455,0.33,0.0,0.95,0.43,0.33,0.0,0.95,0.455,0.33,0.0,0.95,0.43,0.33,0.0,0.95,0.455,0.33,0.0,0.95,0.38,0.54,0.0,0.95,0.405,0.54,0.0,0.95,0.55,0.67,0.0,0.95,0.5750000000000001,0.67,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
1,0.03333333333333333,1.0,0.5101520150410297,0.18019347368858318,0.0,0.95,0.4901520150410297,0.16519347368858317,0.0,0.95,0.48515201504102967,0.16519347368858317,0.0,0.95,0.48015201504102967,0.16519347368858317,0.0,0.95,0.5101520150410297,0.16519347368858317,0.0,0.95,0.5151520150410297,0.16519347368858317,0.0,0.95,0.5201520150410297,0.16519347368858317,0.0,0.95,0.46515201504102965,0.17519347368858318,0.0,0.95,0.5351520150410297,0.17519347368858318,0.0,0.95,0.4901520150410297,0.1951934736885832,0.0,0.95,0.5101520150410297,0.1951934736885832,0.0,0.95,0.5001520150410297,0.3001934736885832,0.0,0.95,0.5251520150410297,0.3001934736885832,0.0,0.95,0.4700967368442916,0.3701589248156219,0.0,0.95,0.4950967368442916,0.3701589248156219,0.0,0.95,0.43008291729510706,0.3301658345902142,0.0,0.95,0.4550829172951071,0.3301658345902142,0.0,0.95,0.43008291729510706,0.3301658345902142,0.0,0.95,0.4550829172951071,0.3301658345902142,0.0,0.95,0.43008291729510706,0.3301658345902142,0.0,0.95,0.4550829172951071,0.3301658345902142,0.0,0.95,0.43008291729510706,0.3301658345902142,0.0,0.95,0.4550829172951071,0.3301658345902142,0.0,0.95,0.3799930902254077,0.5401451052664374,0.0,0.95,0.40499309022540775,0.5401451052664374,0.0,0.95,0.5499930902254078,0.6700345488729613,0.0,0.95,0.5749930902254078,0.6700345488729613,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
2,0.06666666666666667,1.0,0.5106076400082514,0.18077336001050182,0.0,0.95,0.4906076400082514,0.1657733600105018,0.0,0.95,0.4856076400082514,0.1657733600105018,0.0,0.95,0.4806076400082514,0.1657733600105018,0.0,0.95,0.5106076400082514,0.1657733600105018,0.0,0.95,0.5156076400082514,0.1657733600105018,0.0,0.95,0.5206076400082514,0.1657733600105018,0.0,0.95,0.4656076400082514,0.1757733600105018,0.0,0.95,0.5356076400082515,0.1757733600105018,0.0,0.95,0.4906076400082514,0.19577336001050183,0.0,0.95,0.5106076400082514,0.19577336001050183,0.0,0.95,0.5006076400082514,0.3007733600105018,0.0,0.95,0.5256076400082514,0.3007733600105018,0.0,0.95,0.47038668000525086,0.3706352600086265,0.0,0.95,0.4953866800052509,0.3706352600086265,0.0,0.95,0.43033144000450074,0.33066288000900157,0.0,0.95,0.45533144000450076,0.33066288000900157,0.0,0.95,0.43033144000450074,0.33066288000900157,0.0,0.95,0.45533144000450076,0.33066288000900157,0.0,0.95,0.43033144000450074,0.33066288000900157,0.0,0.95,0.45533144000450076,0.33066288000900157,0.0,0.95,0.43033144000450074,0.33066288000900157,0.0,0.95,0.45533144000450076,0.33066288000900157,0.0,0.95,0.37997237999962497,0.5405800200078764,0.0,0.95,0.404972379999625,0.5405800200078764,0.0,0.95,0.5499723799996249,0.6701381000018755,0.0,0.95,0.5749723799996249,0.6701381000018755,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
3,0.1,1.0,0.5113656155953364,0.1817380562122463,0.0,0.95,0.4913656155953364,0.1667380562122463,0.0,0.95,0.4863656155953364,0.1667380562122463,0.0,0.95,0.4813656155953364,0.1667380562122463,0.0,0.95,0.5113656155953364,0.1667380562122463,0.0,0.95,0.5163656155953364,0.1667380562122463,0.0,0.95,0.5213656155953365,0.1667380562122463,0.0,0.95,0.4663656155953364,0.1767380562122463,0.0,0.95,0.5363656155953365,0.1767380562122463,0.0,0.95,0.4913656155953364,0.19673805621224633,0.0,0.95,0.5113656155953364,0.19673805621224633,0.0,0.95,0.5013656155953364,0.3017380562122463,0.0,0.95,0.5263656155953365,0.3017380562122463,0.0,0.95,0.47086902810612313,0.37142768903148804,0.0,0.95,0.49586902810612316,0.37142768903148804,0.0,0.95,0.4307448812338199,0.3314897624676398,0.0,0.95,0.4557448812338199,0.3314897624676398,0.0,0.95,0.4307448812338199,0.3314897624676398,0.0,0.95,0.4557448812338199,0.3314897624676398,0.0,0.95,0.4307448812338199,0.3314897624676398,0.0,0.95,0.4557448812338199,0.3314897624676398,0.0,0.95,0.4307448812338199,0.3314897624676398,0.0,0.95,0.4557448812338199,0.3314897624676398,0.0,0.95,0.3799379265638484,0.5413035421591847,0.0,0.95,0.4049379265638484,0.5413035421591847,0.0,0.95,0.5499379265638484,0.6703103671807583,0.0,0.95,0.5749379265638485,0.6703103671807583,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
4,0.13333333333333333,1.0,0.5124238468261034,0.18308489596049515,0.0,0.95,0.4924238468261034,0.16808489596049514,0.0,0.95,0.4874238468261034,0.16808489596049514,0.0,0.95,0.4824238468261034,0.16808489596049514,0.0,0.95,0.5124238468261034,0.16808489596049514,0.0,0.95,0.5174238468261034,0.16808489596049514,0.0,0.95,0.5224238468261034,0.16808489596049514,0.0,0.95,0.4674238468261034,0.17808489596049515,0.0,0.95,0.5374238468261034,0.17808489596049515,0.0,0.95,0.4924238468261034,0.19808489596049517,0.0,0.95,0.5124238468261034,0.19808489596049517,0.0,0.95,0.5024238468261034,0.30308489596049515,0.0,0.95,0.5274238468261034,0.30308489596049515,0.0,0.95,0.4715424479802476,0.3725340216818353,0.0,0.95,0.4965424479802476,0.3725340216818353,0.0,0.95,0.43132209826878365,0.3326441965375673,0.0,0.95,0.45632209826878367,0.3326441965375673,0.0,0.95,0.43132209826878365,0.3326441965375673,0.0,0.95,0.45632209826878367,0.3326441965375673,0.0,0.95,0.43132209826878365,0.3326441965375673,0.0,0.95,0.45632209826878367,0.3326441965375673,0.0,0.95,0.43132209826878365,0.3326441965375673,0.0,0.95,0.45632209826878367,0.3326441965375673,0.0,0.95,0.37988982514426806,0.5423136719703715,0.0,0.95,0.4048898251442681,0.5423136719703715,0.0,0.95,0.549889825144268,0.6705508742786599,0.0,0.95,0.574889825144268,0.6705508742786599,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
5,0.16666666666666666,1.0,0.5137794088448439,0.1848101567116195,0.0,0.95,0.49377940884484384,0.16981015671161948,0.0,0.95,0.48877940884484383,0.16981015671161948,0.0,0.95,0.48377940884484383,0.16981015671161948,0.0,0.95,0.5137794088448439,0.16981015671161948,0.0,0.95,0.5187794088448439,0.16981015671161948,0.0,0.95,0.5237794088448439,0.16981015671161948,0.0,0.95,0.4687794088448438,0.17981015671161948,0.0,0.95,0.5387794088448439,0.17981015671161948,0.0,0.95,0.49377940884484384,0.1998101567116195,0.0,0.95,0.5137794088448439,0.1998101567116195,0.0,0.95,0.5037794088448438,0.3048101567116195,0.0,0.95,0.5287794088448439,0.3048101567116195,0.0,0.95,0.47240507835580975,0.37395120015597316,0.0,0.95,0.49740507835580977,0.37395120015597316,0.0,0.95,0.43206149573355124,0.33412299146710245,0.0,0.95,0.45706149573355126,0.33412299146710245,0.0,0.95,0.43206149573355124,0.33412299146710245,0.0,0.95,0.45706149573355126,0.33412299146710245,0.0,0.95,0.43206149573355124,0.33412299146710245,0.0,0.95,0.45706149573355126,0.33412299146710245,0.0,0.95,0.43206149573355124,0.33412299146710245,0.0,0.95,0.45706149573355126,0.33412299146710245,0.0,0.95,0.37982820868887074,0.5436076175337147,0.0,0.95,0.40482820868887076,0.5436076175337147,0.0,0.95,0.5498282086888707,0.6708589565556463,0.0,0.95,0.5748282086888707,0.6708589565556463,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
6,0.2,1.0,0.5154285550003598,0.1869090700004578,0.0,0.95,0.49542855500035976,0.1719090700004578,0.0,0.95,0.49042855500035976,0.1719090700004578,0.0,0.95,0.48542855500035975,0.1719090700004578,0.0,0.95,0.5154285550003598,0.1719090700004578,0.0,0.95,0.5204285550003598,0.1719090700004578,0.0,0.95,0.5254285550003598,0.1719090700004578,0.0,0.95,0.47042855500035974,0.1819090700004578,0.0,0.95,0.5404285550003598,0.1819090700004578,0.0,0.95,0.49542855500035976,0.20190907000045782,0.0,0.95,0.5154285550003598,0.20190907000045782,0.0,0.95,0.5054285550003598,0.3069090700004578,0.0,0.95,0.5304285550003598,0.3069090700004578,0.0,0.95,0.47345453500022894,0.3756753075003761,0.0,0.95,0.49845453500022896,0.3756753075003761,0.0,0.95,0.43296103000019626,0.3359220600003925,0.0,0.95,0.4579610300001963,0.3359220600003925,0.0,0.95,0.43296103000019626,0.3359220600003925,0.0,0.95,0.4579610300001963,0.3359220600003925,0.0,0.95,0.43296103000019626,0.3359220600003925,0.0,0.95,0.4579610300001963,0.3359220600003925,0.0,0.95,0.43296103000019626,0.3359220600003925,0.0,0.95,0.4579610300001963,0.3359220600003925,0.0,0.95,0.3797532474999836,0.5451818025003434,0.0,0.95,0.40475324749998365,0.5451818025003434,0.0,0.95,0.5497532474999837,0.6712337625000818,0.0,0.95,0.5747532474999837,0.6712337625000818,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
7,0.23333333333333334,1.0,0.5173667272013693,0.18937583461992452,0.0,0.95,0.4973667272013693,0.1743758346199245,0.0,0.95,0.4923667272013693,0.1743758346199245,0.0,0.95,0.4873667272013693,0.1743758346199245,0.0,0.95,0.5173667272013693,0.1743758346199245,0.0,0.95,0.5223667272013693,0.1743758346199245,0.0,0.95,0.5273667272013693,0.1743758346199245,0.0,0.95,0.4723667272013693,0.18437583461992452,0.0,0.95,0.5423667272013694,0.18437583461992452,0.0,0.95,0.4973667272013693,0.20437583461992453,0.0,0.95,0.5173667272013693,0.20437583461992453,0.0,0.95,0.5073667272013693,0.3093758346199245,0.0,0.95,0.5323667272013693,0.3093758346199245,0.0,0.95,0.4746879173099623,0.37770157843779517,0.0,0.95,0.4996879173099623,0.37770157843779517,0.0,0.95,0.43401821483711056,0.3380364296742211,0.0,0.95,0.4590182148371106,0.3380364296742211,0.0,0.95,0.43401821483711056,0.3380364296742211,0.0,0.95,0.4590182148371106,0.3380364296742211,0.0,0.95,0.43401821483711056,0.3380364296742211,0.0,0.95,0.4590182148371106,0.3380364296742211,0.0,0.95,0.43401821483711056,0.3380364296742211,0.0,0.95,0.4590182148371106,0.3380364296742211,0.0,0.95,0.3796651487635741,0.5470318759649435,0.0,0.95,0.4046651487635741,0.5470318759649435,0.0,0.95,0.5496651487635742,0.6716742561821295,0.0,0.95,0.5746651487635742,0.6716742561821295,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
8,0.26666666666666666,1.0,0.5195885685146605,0.1922036326550225,0.0,0.95,0.4995885685146605,0.17720363265502248,0.0,0.95,0.4945885685146605,0.17720363265502248,0.0,0.95,0.4895885685146605,0.17720363265502248,0.0,0.95,0.5195885685146605,0.17720363265502248,0.0,0.95,0.5245885685146605,0.17720363265502248,0.0,0.95,0.5295885685146605,0.17720363265502248,0.0,0.95,0.47458856851466047,0.1872036326550225,0.0,0.95,0.5445885685146605,0.1872036326550225,0.0,0.95,0.4995885685146605,0.2072036326550225,0.0,0.95,0.5195885685146605,0.2072036326550225,0.0,0.95,0.5095885685146605,0.3122036326550225,0.0,0.95,0.5345885685146605,0.3122036326550225,0.0,0.95,0.4761018163275112,0.3800244125380542,0.0,0.95,0.5011018163275112,0.3800244125380542,0.0,0.95,0.43523012828072394,0.3404602565614479,0.0,0.95,0.46023012828072396,0.3404602565614479,0.0,0.95,0.43523012828072394,0.3404602565614479,0.0,0.95,0.46023012828072396,0.3404602565614479,0.0,0.95,0.43523012828072394,0.3404602565614479,0.0,0.95,0.46023012828072396,0.3404602565614479,0.0,0.95,0.43523012828072394,0.3404602565614479,0.0,0.95,0.46023012828072396,0.3404602565614479,0.0,0.95,0.37956415597660637,0.5491527244912668,0.0,0.95,0.4045641559766064,0.5491527244912668,0.0,0.95,0.5495641559766063,0.6721792201169683,0.0,0.95,0.5745641559766064,0.6721792201169683,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
9,0.3,1.0,0.5220879379711717,0.1953846483269457,0.0,0.95,0.5020879379711717,0.18038464832694567,0.0,0.95,0.4970879379711717,0.18038464832694567,0.0,0.95,0.4920879379711717,0.18038464832694567,0.0,0.95,0.5220879379711717,0.18038464832694567,0.0,0.95,0.5270879379711717,0.18038464832694567,0.0,0.95,0.5320879379711717,0.18038464832694567,0.0,0.95,0.47708793797117166,0.19038464832694568,0.0,0.95,0.5470879379711717,0.19038464832694568,0.0,0.95,0.5020879379711717,0.2103846483269457,0.0,0.95,0.5220879379711717,0.2103846483269457,0.0,0.95,0.5120879379711717,0.3153846483269457,0.0,0.95,0.5370879379711717,0.3153846483269457,0.0,0.95,0.47769232416347285,0.38263738969713396,0.0,0.95,0.5026923241634729,0.38263738969713396,0.0,0.95,0.43659342071154816,0.34318684142309636,0.0,0.95,0.4615934207115482,0.34318684142309636,0.0,0.95,0.43659342071154816,0.34318684142309636,0.0,0.95,0.4615934207115482,0.34318684142309636,0.0,0.95,0.43659342071154816,0.34318684142309636,0.0,0.95,0.4615934207115482,0.34318684142309636,0.0,0.95,0.43659342071154816,0.34318684142309636,0.0,0.95,0.4615934207115482,0.34318684142309636,0.0,0.95,0.3794505482740377,0.5515384862452094,0.0,0.95,0.4044505482740377,0.5515384862452094,0.0,0.95,0.5494505482740376,0.6727472586298118,0.0,0.95,0.5744505482740376,0.6727472586298118,0.0,0.95,0.62,0.86,0.0,0.95,0.645,0.86,0.0,0.95,0.59,0.88,0.0,0.95,0.615,0.88,0.0,0.95,0.67,0.88,0.0,0.95,0.6950000000000001,0.88,0.0,0.95
