frame,time,pose_found,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,1.0,0.51,0.16000000000000003,0.0,0.95,0.49,0.14500000000000002,0.0,0.95,0.485,0.14500000000000002,0.0,0.95,0.48,0.14500000000000002,0.0,0.95,0.51,0.14500000000000002,0.0,0.95,0.515,0.14500000000000002,0.0,0.95,0.52,0.14500000000000002,0.0,0.95,0.46499999999999997,0.15500000000000003,0.0,0.95,0.535,0.15500000000000003,0.0,0.95,0.49,0.17500000000000004,0.0,0.95,0.51,0.17500000000000004,0.0,0.95,0.5,0.28,0.0,0.95,0.525,0.28,0.0,0.95,0.45,0.34,0.0,0.95,0.47500000000000003,0.34,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.4,0.3,0.0,0.95,0.42500000000000004,0.3,0.0,0.95,0.5,0.48,0.0,0.95,0.525,0.48,0.0,0.95,0.55,0.67,0.0,0.95,0.5750000000000001,0.67,0.0,0.95,0.56,0.84,0.0,0.95,0.5850000000000001,0.84,0.0,0.95,0.53,0.86,0.0,0.95,0.555,0.86,0.0,0.95,0.6100000000000001,0.86,0.0,0.95,0.6350000000000001,0.86,0.0,0.95
1,0.03333333333333333,1.0,0.51,0.16011746616806843,0.0,0.95,0.49,0.14511746616806842,0.0,0.95,0.485,0.14511746616806842,0.0,0.95,0.48,0.14511746616806842,0.0,0.95,0.51,0.14511746616806842,0.0,0.95,0.515,0.14511746616806842,0.0,0.95,0.52,0.14511746616806842,0.0,0.95,0.46499999999999997,0.15511746616806843,0.0,0.95,0.535,0.15511746616806843,0.0,0.95,0.49,0.17511746616806845,0.0,0.95,0.51,0.17511746616806845,0.0,0.95,0.5,0.28011746616806843,0.0,0.95,0.525,0.28011746616806843,0.0,0.95,0.45,0.34010364661888387,0.0,0.95,0.47500000000000003,0.34010364661888387,0.0,0.95,0.4,0.30010364661888383,0.0,0.95,0.42500000000000004,0.30010364661888383,0.0,0.95,0.4,0.30010364661888383,0.0,0.95,0.42500000000000004,0.30010364661888383,0.0,0.95,0.4,0.30010364661888383,0.0,0.95,0.42500000000000004,0.30010364661888383,0.0,0.95,0.4,0.30010364661888383,0.0,0.95,0.42500000000000004,0.30010364661888383,0.0,0.95,0.49991708270489293,0.48018656391399095,0.0,0.95,0.5249170827048929,0.48018656391399095,0.0,0.95,0.5499930902254078,0.6700345488729613,0.0,0.95,0.5749930902254078,0.6700345488729613,0.0,0.95,0.5600414586475536,0.8400138195491845,0.0,0.95,0.5850414586475536,0.8400138195491845,0.0,0.95,0.5300414586475536,0.8600138195491845,0.0,0.95,0.5550414586475536,0.8600138195491845,0.0,0.95,0.6100414586475537,0.8600138195491845,0.0,0.95,0.6350414586475537,0.8600138195491845,0.0,0.95
2,0.06666666666666667,1.0,0.51,0.16046954000637614,0.0,0.95,0.49,0.14546954000637613,0.0,0.95,0.485,0.14546954000637613,0.0,0.95,0.48,0.14546954000637613,0.0,0.95,0.51,0.14546954000637613,0.0,0.95,0.515,0.14546954000637613,0.0,0.95,0.52,0.14546954000637613,0.0,0.95,0.46499999999999997,0.15546954000637614,0.0,0.95,0.535,0.15546954000637614,0.0,0.95,0.49,0.17546954000637616,0.0,0.95,0.51,0.17546954000637616,0.0,0.95,0.5,0.28046954000637614,0.0,0.95,0.525,0.28046954000637614,0.0,0.95,0.45,0.340414300005626,0.0,0.95,0.47500000000000003,0.340414300005626,0.0,0.95,0.4,0.30041430000562597,0.0,0.95,0.42500000000000004,0.30041430000562597,0.0,0.95,0.4,0.30041430000562597,0.0,0.95,0.42500000000000004,0.30041430000562597,0.0,0.95,0.4,0.30041430000562597,0.0,0.95,0.42500000000000004,0.30041430000562597,0.0,0.95,0.4,0.30041430000562597,0.0,0.95,0.42500000000000004,0.30041430000562597,0.0,0.95,0.4996685599954992,0.4807457400101267,0.0,0.95,0.5246685599954992,0.4807457400101267,0.0,0.95,0.5499723799996249,0.6701381000018755,0.0,0.95,0.5749723799996249,0.6701381000018755,0.0,0.95,0.5601657200022504,0.8400552400007502,0.0,0.95,0.5851657200022504,0.8400552400007502,0.0,0.95,0.5301657200022504,0.8600552400007502,0.0,0.95,0.5551657200022504,0.8600552400007502,0.0,0.95,0.6101657200022504,0.8600552400007502,0.0,0.95,0.6351657200022505,0.8600552400007502,0.0,0.95
3,0.1,1.0,0.51,0.1610552484145782,0.0,0.95,0.49,0.14605524841457818,0.0,0.95,0.485,0.14605524841457818,0.0,0.95,0.48,0.14605524841457818,0.0,0.95,0.51,0.14605524841457818,0.0,0.95,0.515,0.14605524841457818,0.0,0.95,0.52,0.14605524841457818,0.0,0.95,0.46499999999999997,0.15605524841457818,0.0,0.95,0.535,0.15605524841457818,0.0,0.95,0.49,0.1760552484145782,0.0,0.95,0.51,0.1760552484145782,0.0,0.95,0.5,0.2810552484145782,0.0,0.95,0.525,0.2810552484145782,0.0,0.95,0.45,0.34093110154227485,0.0,0.95,0.47500000000000003,0.34093110154227485,0.0,0.95,0.4,0.3009311015422748,0.0,0.95,0.42500000000000004,0.3009311015422748,0.0,0.95,0.4,0.3009311015422748,0.0,0.95,0.42500000000000004,0.3009311015422748,0.0,0.95,0.4,0.3009311015422748,0.0,0.95,0.42500000000000004,0.3009311015422748,0.0,0.95,0.4,0.3009311015422748,0.0,0.95,0.42500000000000004,0.3009311015422748,0.0,0.95,0.4992551187661801,0.4816759827760947,0.0,0.95,0.5242551187661801,0.4816759827760947,0.0,0.95,0.5499379265638484,0.6703103671807583,0.0,0.95,0.5749379265638485,0.6703103671807583,0.0,0.95,0.56037244061691,0.8401241468723032,0.0,0.95,0.5853724406169101,0.8401241468723032,0.0,0.95,0.53037244061691,0.8601241468723032,0.0,0.95,0.55537244061691,0.8601241468723032,0.0,0.95,0.6103724406169101,0.8601241468723032,0.0,0.95,0.6353724406169101,0.8601241468723032,0.0,0.95
4,0.13333333333333333,1.0,0.51,0.16187297254744354,0.0,0.95,0.49,0.14687297254744353,0.0,0.95,0.485,0.14687297254744353,0.0,0.95,0.48,0.14687297254744353,0.0,0.95,0.51,0.14687297254744353,0.0,0.95,0.515,0.14687297254744353,0.0,0.95,0.52,0.14687297254744353,0.0,0.95,0.46499999999999997,0.15687297254744353,0.0,0.95,0.535,0.15687297254744353,0.0,0.95,0.49,0.17687297254744355,0.0,0.95,0.51,0.17687297254744355,0.0,0.95,0.5,0.28187297254744353,0.0,0.95,0.525,0.28187297254744353,0.0,0.95,0.45,0.34165262283597964,0.0,0.95,0.47500000000000003,0.34165262283597964,0.0,0.95,0.4,0.30165262283597954,0.0,0.95,0.42500000000000004,0.30165262283597954,0.0,0.95,0.4,0.30165262283597954,0.0,0.95,0.42500000000000004,0.30165262283597954,0.0,0.95,0.4,0.30165262283597954,0.0,0.95,0.42500000000000004,0.30165262283597954,0.0,0.95,0.4,0.30165262283597954,0.0,0.95,0.42500000000000004,0.30165262283597954,0.0,0.95,0.49867790173121634,0.48297472110476325,0.0,0.95,0.5236779017312163,0.48297472110476325,0.0,0.95,0.549889825144268,0.6705508742786599,0.0,0.95,0.574889825144268,0.6705508742786599,0.0,0.95,0.5606610491343919,0.8402203497114639,0.0,0.95,0.5856610491343919,0.8402203497114639,0.0,0.95,0.5306610491343918,0.8602203497114639,0.0,0.95,0.5556610491343918,0.8602203497114639,0.0,0.95,0.6106610491343919,0.8602203497114639,0.0,0.95,0.6356610491343919,0.8602203497114639,0.0,0.95
5,0.16666666666666666,1.0,0.51,0.16292045228919755,0.0,0.95,0.49,0.14792045228919753,0.0,0.95,0.485,0.14792045228919753,0.0,0.95,0.48,0.14792045228919753,0.0,0.95,0.51,0.14792045228919753,0.0,0.95,0.515,0.14792045228919753,0.0,0.95,0.52,0.14792045228919753,0.0,0.95,0.46499999999999997,0.15792045228919754,0.0,0.95,0.535,0.15792045228919754,0.0,0.95,0.49,0.17792045228919756,0.0,0.95,0.51,0.17792045228919756,0.0,0.95,0.5,0.28292045228919754,0.0,0.95,0.525,0.28292045228919754,0.0,0.95,0.45,0.342576869666939,0.0,0.95,0.47500000000000003,0.342576869666939,0.0,0.95,0.4,0.302576869666939,0.0,0.95,0.42500000000000004,0.302576869666939,0.0,0.95,0.4,0.302576869666939,0.0,0.95,0.42500000000000004,0.302576869666939,0.0,0.95,0.4,0.302576869666939,0.0,0.95,0.42500000000000004,0.302576869666939,0.0,0.95,0.4,0.302576869666939,0.0,0.95,0.42500000000000004,0.302576869666939,0.0,0.95,0.4979385042664488,0.4846383654004902,0.0,0.95,0.5229385042664488,0.4846383654004902,0.0,0.95,0.5498282086888707,0.6708589565556463,0.0,0.95,0.5748282086888707,0.6708589565556463,0.0,0.95,0.5610307478667756,0.8403435826222585,0.0,0.95,0.5860307478667757,0.8403435826222585,0.0,0.95,0.5310307478667756,0.8603435826222585,0.0,0.95,0.5560307478667756,0.8603435826222585,0.0,0.95,0.6110307478667757,0.8603435826222585,0.0,0.95,0.6360307478667757,0.8603435826222585,0.0,0.95
6,0.2,1.0,0.51,0.16419479250027796,0.0,0.95,0.49,0.14919479250027795,0.0,0.95,0.485,0.14919479250027795,0.0,0.95,0.48,0.14919479250027795,0.0,0.95,0.51,0.14919479250027795,0.0,0.95,0.515,0.14919479250027795,0.0,0.95,0.52,0.14919479250027795,0.0,0.95,0.46499999999999997,0.15919479250027796,0.0,0.95,0.535,0.15919479250027796,0.0,0.95,0.49,0.17919479250027798,0.0,0.95,0.51,0.17919479250027798,0.0,0.95,0.5,0.28419479250027796,0.0,0.95,0.525,0.28419479250027796,0.0,0.95,0.45,0.34370128750024526,0.0,0.95,0.47500000000000003,0.34370128750024526,0.0,0.95,0.4,0.3037012875002452,0.0,0.95,0.42500000000000004,0.3037012875002452,0.0,0.95,0.4,0.3037012875002452,0.0,0.95,0.42500000000000004,0.3037012875002452,0.0,0.95,0.4,0.3037012875002452,0.0,0.95,0.42500000000000004,0.3037012875002452,0.0,0.95,0.4,0.3037012875002452,0.0,0.95,0.42500000000000004,0.3037012875002452,0.0,0.95,0.4970389699998038,0.4866623175004415,0.0,0.95,0.5220389699998038,0.4866623175004415,0.0,0.95,0.5497532474999837,0.6712337625000818,0.0,0.95,0.5747532474999837,0.6712337625000818,0.0,0.95,0.5614805150000981,0.8404935050000326,0.0,0.95,0.5864805150000981,0.8404935050000326,0.0,0.95,0.5314805150000981,0.8604935050000326,0.0,0.95,0.5564805150000981,0.8604935050000326,0.0,0.95,0.6114805150000981,0.8604935050000326,0.0,0.95,0.6364805150000982,0.8604935050000326,0.0,0.95
7,0.23333333333333334,1.0,0.51,0.1656924710192399,0.0,0.95,0.49,0.15069247101923988,0.0,0.95,0.485,0.15069247101923988,0.0,0.95,0.48,0.15069247101923988,0.0,0.95,0.51,0.15069247101923988,0.0,0.95,0.515,0.15069247101923988,0.0,0.95,0.52,0.15069247101923988,0.0,0.95,0.46499999999999997,0.1606924710192399,0.0,0.95,0.535,0.1606924710192399,0.0,0.95,0.49,0.1806924710192399,0.0,0.95,0.51,0.1806924710192399,0.0,0.95,0.5,0.2856924710192399,0.0,0.95,0.525,0.2856924710192399,0.0,0.95,0.45,0.34502276854638814,0.0,0.95,0.47500000000000003,0.34502276854638814,0.0,0.95,0.4,0.3050227685463881,0.0,0.95,0.42500000000000004,0.3050227685463881,0.0,0.95,0.4,0.3050227685463881,0.0,0.95,0.42500000000000004,0.3050227685463881,0.0,0.95,0.4,0.3050227685463881,0.0,0.95,0.42500000000000004,0.3050227685463881,0.0,0.95,0.4,0.3050227685463881,0.0,0.95,0.42500000000000004,0.3050227685463881,0.0,0.95,0.4959817851628895,0.48904098338349866,0.0,0.95,0.5209817851628895,0.48904098338349866,0.0,0.95,0.5496651487635742,0.6716742561821295,0.0,0.95,0.5746651487635742,0.6716742561821295,0.0,0.95,0.5620091074185553,0.8406697024728517,0.0,0.95,0.5870091074185553,0.8406697024728517,0.0,0.95,0.5320091074185552,0.8606697024728517,0.0,0.95,0.5570091074185552,0.8606697024728517,0.0,0.95,0.6120091074185553,0.8606697024728517,0.0,0.95,0.6370091074185553,0.8606697024728517,0.0,0.95
8,0.26666666666666666,1.0,0.51,0.16740934839769228,0.0,0.95,0.49,0.15240934839769227,0.0,0.95,0.485,0.15240934839769227,0.0,0.95,0.48,0.15240934839769227,0.0,0.95,0.51,0.15240934839769227,0.0,0.95,0.515,0.15240934839769227,0.0,0.95,0.52,0.15240934839769227,0.0,0.95,0.46499999999999997,0.16240934839769228,0.0,0.95,0.535,0.16240934839769228,0.0,0.95,0.49,0.1824093483976923,0.0,0.95,0.51,0.1824093483976923,0.0,0.95,0.5,0.2874093483976923,0.0,0.95,0.525,0.2874093483976923,0.0,0.95,0.45,0.34653766035090494,0.0,0.95,0.47500000000000003,0.34653766035090494,0.0,0.95,0.4,0.3065376603509049,0.0,0.95,0.42500000000000004,0.3065376603509049,0.0,0.95,0.4,0.3065376603509049,0.0,0.95,0.42500000000000004,0.3065376603509049,0.0,0.95,0.4,0.3065376603509049,0.0,0.95,0.42500000000000004,0.3065376603509049,0.0,0.95,0.4,0.3065376603509049,0.0,0.95,0.42500000000000004,0.3065376603509049,0.0,0.95,0.49476987171927606,0.49176778863162884,0.0,0.95,0.519769871719276,0.49176778863162884,0.0,0.95,0.5495641559766063,0.6721792201169683,0.0,0.95,0.5745641559766064,0.6721792201169683,0.0,0.95,0.562615064140362,0.8408716880467872,0.0,0.95,0.587615064140362,0.8408716880467872,0.0,0.95,0.532615064140362,0.8608716880467873,0.0,0.95,0.557615064140362,0.8608716880467873,0.0,0.95,0.612615064140362,0.8608716880467873,0.0,0.95,0.6376150641403621,0.8608716880467873,0.0,0.95
9,0.3,1.0,0.51,0.16934067934135993,0.0,0.95,0.49,0.15434067934135992,0.0,0.95,0.485,0.15434067934135992,0.0,0.95,0.48,0.15434067934135992,0.0,0.95,0.51,0.15434067934135992,0.0,0.95,0.515,0.15434067934135992,0.0,0.95,0.52,0.15434067934135992,0.0,0.95,0.46499999999999997,0.16434067934135993,0.0,0.95,0.535,0.16434067934135993,0.0,0.95,0.49,0.18434067934135995,0.0,0.95,0.51,0.18434067934135995,0.0,0.95,0.5,0.28934067934135993,0.0,0.95,0.525,0.28934067934135993,0.0,0.95,0.45,0.3482417758894353,0.0,0.95,0.47500000000000003,0.3482417758894353,0.0,0.95,0.4,0.3082417758894352,0.0,0.95,0.42500000000000004,0.3082417758894352,0.0,0.95,0.4,0.3082417758894352,0.0,0.95,0.42500000000000004,0.3082417758894352,0.0,0.95,0.4,0.3082417758894352,0.0,0.95,0.42500000000000004,0.3082417758894352,0.0,0.95,0.4,0.3082417758894352,0.0,0.95,0.42500000000000004,0.3082417758894352,0.0,0.95,0.49340657928845183,0.4948351966009834,0.0,0.95,0.5184065792884518,0.4948351966009834,0.0,0.95,0.5494505482740376,0.6727472586298118,0.0,0.95,0.5744505482740376,0.6727472586298118,0.0,0.95,0.5632967103557741,0.8410989034519246,0.0,0.95,0.5882967103557741,0.8410989034519246,0.0,0.95,0.5332967103557741,0.8610989034519246,0.0,0.95,0.5582967103557741,0.8610989034519246,0.0,0.95,0.6132967103557742,0.8610989034519246,0.0,0.95,0.6382967103557742,0.8610989034519246,0.0,0.95
